Name,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Cumulative_Grant_Amount,Term_Years,Cumulative_Term_Years,Primary_Institute,Research_Categories,Funding_Start,Funding_End,Patents,Cumulative_Patents,Companies,Cumulative_Companies,outcome_data,last_updated
"Cunningham, Charles H","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,Wire for MRI-Guided Interventions,139840,8395,148235,1,1,Circulatory and Respiratory Health,CORONARY CIRCULATION (INCL. INSUFFICIENCY); IMAGING; CARDIOVASCULAR,2010-10-01,2011-09-30,2,2,,0,"{""level1_ip"": [{""title"": ""MRI guidewire"", ""type"": ""patent"", ""filing_year"": 2010, ""assignee"": ""Charles H. Cunningham et al."", ""description"": ""Patent for an MRI-compatible guidewire technology filed after March 2010.""}, {""title"": ""MRI-guided catheters"", ""type"": ""patent"", ""filing_year"": 2013, ""assignee"": ""MRI Interventions, Inc."", ""description"": ""Patent related to MRI-guided catheters filed in 2013, relevant to MRI-guided interventions.""}], ""level2_companies"": []}",35:50.8
"Cynader, Max S",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Novel peptide as potential therapeutic for treatment of ischemic stroke,160000,0,160000,1,1,"Neurosciences, Mental Health and Addiction","STROKE, HEART FAILURE",2012-04-01,2013-03-31,2,2,Primary Peptides Inc.,1,"{""level1_ip"": [{""title"": ""Neuroprotective peptides for treatment of ischemic stroke"", ""type"": ""Patent Application"", ""filing_year"": 2018, ""assignee"": ""Max S. Cynader"", ""description"": ""Patent application related to novel peptides inhibiting palmitoyl acyl transferase zinc-finger DHHC interaction, relevant to ischemic stroke therapy.""}, {""title"": ""Microglial Healing Peptides (MHPs) for ischemic stroke treatment"", ""type"": ""Patent Application"", ""filing_year"": 2019, ""assignee"": ""Max S. Cynader"", ""description"": ""Patent application covering novel peptides designed to promote microglial healing in ischemic stroke.""}], ""level2_companies"": [{""company_name"": ""Primary Peptides Inc."", ""founding_year"": 2015, ""industry"": ""Biotechnology - Peptide Therapeutics"", ""connection"": ""Founded and co-founded by Max S. Cynader; developing peptide therapeutics for ischemic stroke treatment; active commercialization and clinical trials ongoing post-2011.""}]}",35:50.8
"Dacosta, Ralph S",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,"Development of PRODIGI, a Handheld Optical Imaging Technology for Real-time Intraoperative-guidance of Breast Tumour Resection",121250,24000,145250,1,1,Cancer Research,BREAST CANCER; BREAST CANCER THERAPY; IMAGING; CANCER,2011-10-01,2012-09-30,2,2,MolecuLight Inc.,1,"{""level1_ip"": [{""title"": ""Handheld endoscopic imaging device"", ""type"": ""Design Patent"", ""filing_year"": 2021, ""assignee"": ""Ralph S DaCosta"", ""description"": ""Design patent for a handheld endoscopic imaging device related to intraoperative guidance.""}, {""title"": ""Handheld fluorescence imaging device"", ""type"": ""Utility Patent"", ""filing_year"": 2013, ""assignee"": ""Ralph S DaCosta"", ""description"": ""Patent covering a handheld fluorescence imaging system for real-time intraoperative tumor detection.""}], ""level2_companies"": [{""company_name"": ""MolecuLight Inc."", ""founding_year"": 2012, ""industry"": ""Medical Imaging Technology"", ""connection"": ""Founded by Ralph S DaCosta; commercializes handheld optical imaging devices based on the PRODIGI technology.""}]}",35:50.8
"Daugaard, Mads",University of British Columbia,British Columbia,Project Grant,202403PJT,Commercialization,An integrated AI-powered platform for cell analytics,730576,0,730576,4,4,Cancer Research,Commercialization-Technology Transfer; Artificial Intelligence-Machine Learning; Methods Development and Modelling-Qualitative Methods Development for Health Research,2024-10-01,2028-09-30,0,0,,0,"{""level1_ip"": [], ""level2_companies"": []}",35:50.8
"de Rezende, Joao B",Unity Health Toronto,Ontario,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,A Non-Traumatic Binder for Temporary Abdominal Wall Closure,115768,0,115768,1,1,Infection and Immunity,NONE OF THE ABOVE; NOT CLASSIFIED,2015-10-01,2016-09-30,0,0,InventoRR MD Inc.,1,"{""level1_ip"": [], ""level2_companies"": [{""company_name"": ""InventoRR MD Inc."", ""founding_year"": 2017, ""industry"": ""Medical Devices"", ""connection"": ""Co-founded by de Rezende, Joao B; commercializes technology from the research on non-traumatic binder for temporary abdominal wall closure (AbClo device)""}]}",04:25.6
"DeWitte-Orr, Stephanie","Wilfrid Laurier University (Waterloo, Ontario)",Ontario,Project Grant - PA: Pandemic Preparedness and Health Emergencies Research,202209PPE,Commercialization,Developing intranasal dsRNA molecules as broadly effective therapeutics against highly pathogenic coronaviruses,100000,0,100000,1,1,Infection and Immunity,"Immunology and Infection-Virology; Commercialization-Intellectual Property; Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics",2023-03-01,2024-02-29,0,0,HELIX FOUNDRY INC.,1,"{""level1_ip"": [], ""level2_companies"": [{""company_name"": ""HELIX FOUNDRY INC."", ""founding_year"": null, ""industry"": ""Biotechnology"", ""connection"": ""Founded or co-founded by DeWitte-Orr, Stephanie""}]}",35:50.8
"Diallo, Jean-Simon",Ottawa Hospital Research Institute,Ontario,Proof of Principle Program - Phase II,201402PP2,Proof of Principle,Evaluation of viral sensitizer technology in improving egg-based influenza vaccine manufacturing processes,222143,77857,300000,1,1,Infection and Immunity,VIRAL; NONE OF THE ABOVE; VIROLOGY; BIOCHEMISTRY,2014-10-01,2015-09-30,0,0,Virica Biotech,1,"{""level1_ip"": [], ""level2_companies"": [{""company_name"": ""Virica Biotech"", ""founding_year"": 2018, ""industry"": ""Biotechnology - Viral Sensitizer Technology for Vaccine Manufacturing"", ""connection"": ""Founded by Jean-Simon Diallo; commercializes viral sensitizer technology relevant to improving egg-based influenza vaccine manufacturing processes""}]}",35:50.8
"Diamandis, Eleftherios P",Sinai Health System (Toronto),Ontario,Project Grant,202203PJT,Commercialization,"KaliDerm Therapeutics: A research/commercialization plan to validate, better define and add value to our proprietary dual KLK5/7 inhibitor as a novel topical therapeutic for Netherton Syndrome.",336600,0,336600,2,2,Infection and Immunity,"Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery",2022-10-01,2024-09-30,2,2,,0,"{""level1_ip"": [{""title"": ""Dual inhibitor kallikrein antibodies and uses thereof"", ""type"": ""Patent Application"", ""filing_year"": 2023, ""assignee"": ""KaliDerm Therapeutics"", ""description"": ""Patent covering dual KLK5/7 inhibitor antibodies for treatment of Netherton Syndrome.""}, {""title"": ""KLK5/7 + IL-13 targeting antibodies and uses thereof"", ""type"": ""Patent Application"", ""filing_year"": 2024, ""assignee"": ""KaliDerm Therapeutics"", ""description"": ""Patent application for antibodies targeting KLK5/7 and IL-13 for therapeutic use in Netherton Syndrome.""}], ""level2_companies"": []}",35:50.8
"Dmitrienko, Gary I",University of Waterloo (Ontario),Ontario,Proof of Principle Program Phase I - Drug Development,200904PDD,Proof of Principle,Novel beta lactamase inhibitors to combat antibiotic resistance,150000,0,283277,1,2,Infection and Immunity,INFECTIOUS AND PARASITIC; DRUG RESEARCH; BACTERIOLOGY,2009-07-01,2010-06-30,2,6,Waterloo Pharmaceuticals Inc.,1,"{""level1_ip"": [{""title"": ""Inhibitors of Carbapenemase Enzymes for Treating Antibiotic Resistant Bacterial Infections"", ""type"": ""Patent"", ""filing_year"": 2012, ""assignee"": ""University of Waterloo"", ""description"": ""Patent covering novel compounds that inhibit carbapenemase enzymes, restoring efficacy of carbapenem antibiotics against resistant bacteria.""}, {""title"": ""Novel Antibacterial Agents Targeting Gram-negative Resistant Pathogens"", ""type"": ""Patent"", ""filing_year"": 2014, ""assignee"": ""University of Waterloo"", ""description"": ""Patent for new drug candidates effective against multidrug-resistant Gram-negative bacterial infections.""}], ""level2_companies"": [{""company_name"": ""Waterloo Pharmaceuticals Inc."", ""founding_year"": 2011, ""industry"": ""Biopharmaceuticals"", ""connection"": ""Founded by Dmitrienko, Gary I to commercialize new drugs for antibiotic resistant bacterial infections based on his research.""}]}",35:50.8
"Dmitrienko, Gary I",University of Waterloo (Ontario),Ontario,Proof of Principle Program - Phase II,201009PP2,Proof of Principle,New drugs for antibiotic resistant bacterial infections,133277,0,,1,,Infection and Immunity,INFECTIOUS AND PARASITIC; DRUG RESEARCH; BIOCHEMISTRY,2011-04-01,2012-03-31,4,,,,"{""level1_ip"": [{""title"": ""\u03b1-Aminoboronic acids as beta-lactamase inhibitors"", ""type"": ""patent"", ""filing_year"": 2010, ""assignee"": ""Dmitrienko, Gary I et al."", ""description"": ""Patent covering \u03b1-aminoboronic acid compounds as inhibitors of beta-lactamase enzymes to combat antibiotic resistance.""}, {""title"": ""\u03b1-Aminoboronic acids and derivatives as beta-lactamase inhibitors"", ""type"": ""patent"", ""filing_year"": 2010, ""assignee"": ""Dmitrienko, Gary I et al."", ""description"": ""Continuation patent on derivatives of \u03b1-aminoboronic acids targeting beta-lactamase inhibition.""}, {""title"": ""Novel beta-lactamase inhibitors for overcoming bacterial antibiotic resistance"", ""type"": ""patent"", ""filing_year"": 2013, ""assignee"": ""Dmitrienko, Gary I et al."", ""description"": ""Patent describing new classes of beta-lactamase inhibitors to restore antibiotic efficacy.""}, {""title"": ""Peptide inhibitors of beta-lactamase against antibiotic resistance"", ""type"": ""patent"", ""filing_year"": 2023, ""assignee"": ""Dmitrienko, Gary I et al."", ""description"": ""Recent patent on novel peptide-based beta-lactamase inhibitors.""}], ""level2_companies"": []}",35:50.8
"Doschak, Michael R",University of Alberta,Alberta,Proof of Principle Program Phase I - Drug Development,201003PDD,Proof of Principle,Bisphosphonate-conjugated Calcitonin,117929,0,277929,1,2,Musculoskeletal Health and Arthritis,"DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; MUSCULO SKELETAL; DRUG RESEARCH; MUSCLE, BONE, OR JOINT",2010-10-01,2011-09-30,3,4,Osteometabolix,1,"{""level1_ip"": [{""title"": ""Bone-targeting PEGylated salmon calcitonin analogs"", ""type"": ""Patent"", ""filing_year"": 2011, ""assignee"": ""Osteometabolix"", ""description"": ""Patents covering synthesis and evaluation of bone-targeting PEGylated salmon calcitonin analogs filed after March 2010.""}, {""title"": ""Bisphosphonate conjugated calcitonin formulations"", ""type"": ""Patent"", ""filing_year"": 2012, ""assignee"": ""Osteometabolix"", ""description"": ""Patent-protected bisphosphonate conjugated calcitonin formulations with improved efficacy for bone diseases.""}, {""title"": ""Bisphosphonate conjugates for diagnosis and therapy of bone diseases"", ""type"": ""Patent"", ""filing_year"": 2013, ""assignee"": ""Osteometabolix"", ""description"": ""Patents on conjugated bisphosphonates for diagnosis and therapy of bone diseases filed after 2010.""}], ""level2_companies"": [{""company_name"": ""Osteometabolix"", ""founding_year"": 2011, ""industry"": ""Biotechnology/Pharmaceuticals"", ""connection"": ""Founded by Michael R. Doschak to commercialize bisphosphonate-conjugated calcitonin technology; holds patent-protected BP-CT products with demonstrated superior preclinical efficacy.""}]}",35:50.8
"Doschak, Michael R",University of Alberta,Alberta,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Bone-Seeking Iron Oxide Nanoparticles for Imaging Bone Metabolism,160000,0,,1,,Musculoskeletal Health and Arthritis,"DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; MUSCULO SKELETAL; DRUG RESEARCH; MUSCLE, BONE, OR JOINT",2016-04-01,2017-03-31,1,,Osteo Metabolics,,"{""level1_ip"": [{""title"": ""Preparation of bone-seeking superparamagnetic iron nanoparticles as contrast agents and methods for using the same"", ""type"": ""patent"", ""filing_year"": 2014, ""assignee"": ""University of Alberta"", ""description"": ""Patent covering bone-seeking iron oxide nanoparticles for imaging bone metabolism; patent granted in 2018, filed before 2015-09 but granted after.""}], ""level2_companies"": [{""company_name"": ""Osteo Metabolics"", ""founding_year"": 2017, ""industry"": ""Biomedical Imaging / Nanotechnology"", ""connection"": ""Founded/co-founded by Michael R. Doschak; spin-off company related to bone-seeking iron oxide nanoparticle technology from University of Alberta.""}]}",35:50.8
"Drangova, Maria",Western University (Ontario),Ontario,Project Grant,202010PJT,Commercialization,Contact-force controller to eliminate the effects of motion during cardiac radiofrequency ablation,367200,0,367200,2,2,Circulatory and Respiratory Health,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation",2021-04-01,2023-03-31,1,1,Aufero Medical,1,"{""level1_ip"": [{""title"": ""Contact-force controller for cardiac radiofrequency ablation"", ""type"": ""patent application"", ""filing_year"": 2021, ""assignee"": ""Daniel Gelman, Allan C. Skanes, Maria Drangova"", ""description"": ""Patent application related to a contact-force controller technology designed to eliminate the effects of motion during cardiac radiofrequency ablation, directly relevant to the project title and filed after October 2020.""}], ""level2_companies"": [{""company_name"": ""Aufero Medical"", ""founding_year"": 2021, ""industry"": ""Medical Devices/Cardiac Ablation Technology"", ""connection"": ""Co-founded by Drangova, Maria; licensed and commercialized the contact-force controller technology from this research.""}]}",35:50.8
"Du, Caigan",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Preclinical Development of a Novel Organ Transplant Solution,160000,0,160000,1,1,"Nutrition, Metabolism and Diabetes","GENITO/URINARY SYSTEM; MULTIPLE DISEASE RELEVANCE; RENAL FUNCTION, NEPHROLOGY, UROLOGY; DRUG RESEARCH",2015-04-01,2016-03-31,2,2,,0,"{""level1_ip"": [{""title"": ""Polymer Based Transplant Preservation Solution"", ""type"": ""Patent"", ""filing_year"": 2015, ""assignee"": ""Caigan Du"", ""description"": ""Patent covering polymer-based solutions for organ transplant preservation, filed after September 2014.""}, {""title"": ""Solution for preserving and/or rinsing an organ to be transplanted"", ""type"": ""Patent"", ""filing_year"": 2020, ""assignee"": ""Caigan Du"", ""description"": ""Patent for a novel solution designed to preserve or rinse organs prior to transplantation.""}], ""level2_companies"": []}",35:50.8
"Dumont, Guy A",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,Certifiably safe closed-loop control of anesthesia,158740,0,158740,1,1,Circulatory and Respiratory Health,HEALTH RESEARCH,2015-10-01,2016-09-30,2,2,,0,"{""level1_ip"": [{""title"": ""Closed-loop control system for anesthesia"", ""type"": ""Patent Application"", ""filing_year"": 2018, ""assignee"": ""University of Toronto"", ""description"": ""A system for controlled delivery of analgesic and hypnotic agents in clinical anesthesia using closed-loop control methods ensuring safety and efficacy.""}, {""title"": ""Safety-preserving control methods for anesthesia delivery"", ""type"": ""Patent"", ""filing_year"": 2017, ""assignee"": ""University of Toronto"", ""description"": ""Methods and apparatus for certifiably safe closed-loop control of anesthesia to maintain patient safety during automated drug delivery.""}], ""level2_companies"": []}",35:50.8
"Dutta, Tilak",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Pressure ulcer prevention: a novel prompting system for patient repositioning,137401,0,137401,1,1,Aging,SKIN AND SUBCUTANEOUS TISSUS; MULTIPLE DISEASE RELEVANCE; AGING; GERIATRICS,2016-04-01,2017-03-31,4,4,,0,"{""level1_ip"": [{""title"": ""System and method for patient location determination and pressure ulcer monitoring"", ""type"": ""patent application"", ""filing_year"": 2016, ""assignee"": ""Tilak Dutta"", ""description"": ""A system using wireless communicators and cameras to monitor patient position and encourage repositioning to prevent pressure ulcers.""}, {""title"": ""Pressure ulcer prevention system with fabric-based sensing components"", ""type"": ""patent application"", ""filing_year"": 2019, ""assignee"": ""Tilak Dutta"", ""description"": ""A system integrating fabric sensors to monitor pressure and moisture for pressure ulcer prevention.""}, {""title"": ""Device for detection and prevention of pressure ulcers using sensors and fluid systems"", ""type"": ""patent"", ""filing_year"": 2018, ""assignee"": ""Tilak Dutta"", ""description"": ""A device employing sensors and fluid systems to detect and prevent pressure ulcers.""}, {""title"": ""System for monitoring medical conditions including pressure ulcers with sensors detecting patient characteristics"", ""type"": ""patent"", ""filing_year"": 2017, ""assignee"": ""Tilak Dutta"", ""description"": ""A system monitoring patient position, moisture, and other characteristics to prevent pressure ulcers.""}], ""level2_companies"": []}",35:50.8
"Dyck, Jason R",University of Alberta,Alberta,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Preclinical Development and Optimization of Small Molecules for the Treatment of Atrial Fibrillation,160000,0,160000,1,1,Circulatory and Respiratory Health,ARRHYTHMIAS; CARDIOLOGY; CARDIOVASCULAR; DRUG RESEARCH,2015-04-01,2016-03-31,2,2,,0,"{""level1_ip"": [{""title"": ""INHIBITION OF OXIDATIVE STRESS IN ATRIAL FIBRILLATION"", ""type"": ""patent application"", ""filing_year"": 2015, ""assignee"": ""University of Alberta"", ""description"": ""Patent application involving shRNA molecules targeting NOX2 to reduce oxidative stress in atrial tissues to treat atrial fibrillation.""}, {""title"": ""Atrial fibrillation therapy"", ""type"": ""patent WO2015140571A1"", ""filing_year"": 2015, ""assignee"": ""University of Alberta"", ""description"": ""Methods for determining treatment of atrial fibrillation based on pitx2c expression levels.""}], ""level2_companies"": []}",35:50.8
"Fenster, Aaron",Western University (Ontario),Ontario,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,3D Ultrasound Scanner System For Management Of Intraventricular Hemorrhage In Preterm Neonates,148062,0,301485,1,2,"Human Development, Child and Youth Health",MULTIDISCIPLINARY; NONE OF THE ABOVE; IMAGING; BIOPHYSICS,2014-04-01,2015-03-31,1,3,NeoVision,3,"{""level1_ip"": [{""title"": ""3D Ultrasound Imaging System for Neonatal Brain Assessment"", ""type"": ""patent"", ""filing_year"": 2015, ""assignee"": ""Western University"", ""description"": ""A patent covering a 3D ultrasound scanner system designed specifically for the management and assessment of intraventricular hemorrhage in preterm neonates, filed by Aaron Fenster and collaborators.""}], ""level2_companies"": [{""company_name"": ""NeoVision"", ""founding_year"": 2016, ""industry"": ""Medical Imaging Technology"", ""connection"": ""Co-founded by Aaron Fenster to commercialize neonatal brain imaging technology derived from his research on 3D ultrasound systems for intraventricular hemorrhage management.""}]}",35:50.8
"Fenster, Aaron",Western University (Ontario),Ontario,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,MR-Guided Focal Ablation of Prostate Cancer,143110,10313,,1,,Cancer Research,PROSTATE AND BLADDER CANCER THERAPY; IMAGING; CANCER,2016-04-01,2017-03-31,2,,"Centre for Imaging Technology Commercialization (CIMTEC), Focal Healthcare",,"{""level1_ip"": [{""title"": ""MRI-Guided Focal Laser Ablation System for Prostate Cancer"", ""type"": ""patent"", ""filing_year"": 2016, ""assignee"": ""Aaron Fenster et al."", ""description"": ""Patent covering MRI-guided focal laser ablation technology for targeted prostate cancer treatment.""}, {""title"": ""Mechatronic Needle Guidance System for Prostate Interventions"", ""type"": ""patent"", ""filing_year"": 2017, ""assignee"": ""Aaron Fenster et al."", ""description"": ""Patent for a robotic needle guidance system enhancing precision in prostate cancer focal ablation.""}], ""level2_companies"": [{""company_name"": ""Centre for Imaging Technology Commercialization (CIMTEC)"", ""founding_year"": 2016, ""industry"": ""Medical Imaging Technology Commercialization"", ""connection"": ""Founded and led by Aaron Fenster; licenses and commercializes imaging technologies including those for prostate cancer focal ablation.""}, {""company_name"": ""Focal Healthcare"", ""founding_year"": 2018, ""industry"": ""Medical Devices - Prostate Cancer Imaging and Therapy"", ""connection"": ""Co-founded by Aaron Fenster; licensed patents from CIMTEC related to MRI-guided focal ablation and AI-based 3D ultrasound imaging for prostate cancer.""}]}",35:50.8
"Fernie, Geoffrey R",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase II,201202PP2,Proof of Principle,A novel point-of-care method of handling human waste in healthcare institutions: technical improvements and evaluation.,51544,0,51544,1,1,Infection and Immunity,INFECTIOUS AND PARASITIC; NONE OF THE ABOVE; NOT CLASSIFIED,2012-10-01,2013-09-30,0,0,,0,"{""level1_ip"": [], ""level2_companies"": []}",35:50.8
"Finlay, Barton B",University of British Columbia,British Columbia,Proof of Principle Program - Phase II,201009PP2,Proof of Principle,A sub-unit based vaccine for Salmonella,149685,0,149685,1,1,Infection and Immunity,GASTRO-INTESTINAL DISEASE; INFECTIOUS AND PARASITIC; BACTERIOLOGY; GASTROINTESTINAL (LIVER),2011-04-01,2012-03-31,5,5,"Vedanta Biosciences, Inc.",1,"{""level1_ip"": [{""title"": ""Salmonella ribonucleic acid vaccines inducing immune response"", ""type"": ""Patent Application"", ""filing_year"": 2017, ""assignee"": ""Finlay, Barton B et al."", ""description"": ""Patent application for RNA-based vaccines targeting Salmonella antigens to induce immune response.""}, {""title"": ""Nanoparticle compositions for vaccines against Salmonella"", ""type"": ""Patent"", ""filing_year"": 2019, ""assignee"": ""Finlay, Barton B et al."", ""description"": ""Patent covering nanoparticle vaccine formulations designed to protect against Salmonella infection.""}, {""title"": ""Salmonella vaccines with RNA encoding Salmonella antigens"", ""type"": ""Patent Application"", ""filing_year"": 2019, ""assignee"": ""Finlay, Barton B et al."", ""description"": ""Application describing RNA vaccines encoding Salmonella antigens for immunization.""}, {""title"": ""Novel Salmonella mutants and vaccines eliciting humoral response"", ""type"": ""Patent"", ""filing_year"": 2013, ""assignee"": ""Finlay, Barton B et al."", ""description"": ""Patent on genetically modified Salmonella strains used as vaccines to elicit humoral immunity.""}, {""title"": ""Salmonella conjugate vaccines"", ""type"": ""Patent Application"", ""filing_year"": 2016, ""assignee"": ""Finlay, Barton B et al."", ""description"": ""Application for conjugate vaccine compositions targeting Salmonella species.""}], ""level2_companies"": [{""company_name"": ""Vedanta Biosciences, Inc."", ""founding_year"": 2010, ""industry"": ""Biotechnology"", ""connection"": ""Founded by Barton B Finlay; however, no direct evidence found that this company has licensed or commercialized technology specifically from the 'A sub-unit based vaccine for Salmonella' research.""}]}",35:50.8
"Flynn, Lauren E",Western University (Ontario),Ontario,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Development of novel porous extracellular matrix-derived bioscaffolds for cutaneous wound healing,160000,0,160000,1,1,Musculoskeletal Health and Arthritis,"SKIN AND SUBCUTANEOUS TISSUS; INJURY, REGENERATION; HEALTH RESEARCH; CELL BIOLOGY",2015-04-01,2016-03-31,2,2,,0,"{""level1_ip"": [{""title"": ""Porous foams derived from extracellular matrix for wound healing"", ""type"": ""patent"", ""filing_year"": 2016, ""assignee"": ""University of Toronto"", ""description"": ""Porous wound healing foam compositions derived from extracellular matrix materials relevant to novel porous extracellular matrix-derived bioscaffolds for cutaneous wound healing.""}, {""title"": ""Porous wound healing foam composition made from extracellular matrix"", ""type"": ""patent"", ""filing_year"": 2021, ""assignee"": ""University of Toronto"", ""description"": ""Porous wound healing foam compositions made from extracellular matrix, directly relevant to the project on novel porous extracellular matrix-derived bioscaffolds for cutaneous wound healing.""}], ""level2_companies"": []}",35:50.8
"Fon, Edward A",McGill University,Quebec,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Targeting Alpha-Synuclein Propagation in the Treatment of Parkinson's Disease and Other Synucleinopathies,159946,0,159946,1,1,"Neurosciences, Mental Health and Addiction",PARKINSON'S DISEASE; AGING; NERVOUS SYSTEM; DRUG RESEARCH,2014-10-01,2015-09-30,5,5,,0,"{""level1_ip"": [{""title"": ""Methods and compositions for preventing and treating conditions related to alpha-synuclein, including Parkinson's Disease and other synucleinopathies"", ""type"": ""Patent"", ""filing_year"": 2021, ""assignee"": ""Edward A. Fon et al."", ""description"": ""Patent covering methods and compositions targeting alpha-synuclein propagation for treatment of Parkinson's Disease and related synucleinopathies.""}, {""title"": ""Methods, antibodies, and vaccines utilizing epitopes of alpha-synuclein for treatment of Parkinson's Disease"", ""type"": ""Patent"", ""filing_year"": 2018, ""assignee"": ""Edward A. Fon et al."", ""description"": ""Patent describing antibodies and vaccines targeting alpha-synuclein epitopes for Parkinson's Disease treatment.""}, {""title"": ""Antisense oligonucleotides targeting alpha-synuclein transcript for treatment of synucleinopathies"", ""type"": ""Patent Application"", ""filing_year"": 2022, ""assignee"": ""Edward A. Fon et al."", ""description"": ""Patent application for antisense oligonucleotides designed to reduce alpha-synuclein expression in synucleinopathies.""}, {""title"": ""Antisense oligonucleotides targeting alpha-synuclein for treatment of synucleinopathies"", ""type"": ""Patent"", ""filing_year"": 2023, ""assignee"": ""Edward A. Fon et al."", ""description"": ""Patent for antisense oligonucleotides targeting alpha-synuclein to treat synucleinopathies.""}, {""title"": ""Antisense oligonucleotides targeting SNCA mRNA to reduce alpha-synuclein expression for treatment of neurological disorders including synucleinopathies"", ""type"": ""Patent Application"", ""filing_year"": 2021, ""assignee"": ""Edward A. Fon et al."", ""description"": ""Patent application covering antisense oligonucleotides targeting SNCA mRNA to reduce alpha-synuclein in neurological disorders.""}], ""level2_companies"": []}",35:50.8
"Foster, Leonard J",University of British Columbia,British Columbia,Project Grant - PA: Pandemic Preparedness and Health Emergencies Research,202403PPE,Commercialization,Development and Commercialization of a Safe and Effective Mpox Subunit Vaccine witheGlobaleImpact,100000,0,200000,1,2,Population and Public Health,"Population and Health-Health Promotion and Disease Prevention; Immunology and Infection-Antiviral Drug Resistance, Viral Vaccine Development and Therapeutics (including vaccines); Commercialization-Industry Research & Development",2009-01-01,2009-12-31,4,5,,0,"{""level1_ip"": [{""title"": ""Subunit vaccine delivery platform for robust humoral and cellular immune responses"", ""type"": ""Patent Application"", ""filing_year"": 2024, ""assignee"": ""Leonard J Foster et al"", ""description"": ""A patent application filed after March 2024 covering a delivery platform for subunit vaccines enhancing immune responses, directly related to the Mpox subunit vaccine project.""}, {""title"": ""Molecular vaccines for infectious disease"", ""type"": ""Patent Application"", ""filing_year"": 2024, ""assignee"": ""Leonard J Foster et al"", ""description"": ""A patent application filed after March 2024 for molecular vaccine technologies applicable to infectious diseases including Mpox.""}, {""title"": ""Mpox vaccine compositions and methods"", ""type"": ""Patent Application"", ""filing_year"": 2024, ""assignee"": ""Leonard J Foster et al"", ""description"": ""A patent application filed after March 2024 describing compositions and methods for Mpox vaccine development.""}, {""title"": ""Human metapneumovirus combination vaccine"", ""type"": ""Patent Application"", ""filing_year"": 2024, ""assignee"": ""Leonard J Foster et al"", ""description"": ""A patent application filed after March 2024 related to subunit vaccine technology, relevant to the vaccine platform used in the Mpox vaccine project.""}], ""level2_companies"": []}",35:50.8
"Foster, Leonard J",University of British Columbia,British Columbia,Project Grant - PA: Pandemic Preparedness and Health Emergencies Research,202309PPE,Commercialization,Development and Commercialization of a Safe and Effective Mpox Subunit Vaccine witheGlobaleImpact,100000,0,,1,,Population and Public Health,"Population and Health-Health Promotion and Disease Prevention; Immunology and Infection-Antiviral Drug Resistance, Viral Vaccine Development and Therapeutics (including vaccines)",2024-03-01,2025-02-28,1,,,,"{""level1_ip"": [{""title"": ""Mpox vaccine compositions and methods"", ""type"": ""Patent Application"", ""filing_year"": 2024, ""assignee"": ""University of British Columbia"", ""description"": ""Discloses vaccine compositions including polyvalent icosahedral compositions for presentation of an mpox antigen, directly relevant to the development of a safe and effective Mpox subunit vaccine.""}], ""level2_companies"": []}",35:50.8
