Researcher_Name,Project_Title,Company_name,Series_A,Series_A_Investment,Series_B,Series_B_Investment,Series_C,Series_C_Investment,Other_Funding_rounds,Clinical_Trials,Exits,Exit_Amount,Company_outcomes
"Finlay, Barton B",A sub-unit based vaccine for Salmonella,Vedanta Biosciences,FALSE,null,FALSE,null,FALSE,null,536000000,3,TRUE,null,"{""venture_funding"": [{""round"": ""Series E"", ""year"": 2023, ""amount"": ""$118 million"", ""investors"": ""AXA Investment Managers, AMR Action Fund, Bill & Melinda Gates Foundation, Skyviews Life Science, Reimagined Ventures, Fiscus Ventures, PEAK6, Atlantic Neptune, and others""}, {""round"": ""Series D"", ""year"": 2021, ""amount"": ""$68 million"", ""investors"": ""Magnetar Capital, Verition Fund Management, Fosun Health Capital, PureTech Health, Rock Springs Capital, Skyviews Life Science, JSR Corporation, SymBiosis LLC, Shumway Capital, Health for Life Capital (Seventure Partners), and others""}, {""round"": ""Undisclosed"", ""year"": 2024, ""amount"": ""Undisclosed"", ""investors"": ""Various institutional investors""}, {""round"": ""Other rounds"", ""year"": 20102024, ""amount"": ""Total $350 million over 13 rounds"", ""investors"": ""40 investors including Invesco, Seventure Partners, Gates Foundation, CARB-X, Colorcon Ventures, Pfizer, and others""}], ""clinical_trials"": [{""year"": 2024, ""stage"": ""Phase 3"", ""condition"": ""Prevention of recurrent Clostridioides difficile infection (rCDI) - VE303 (RESTORATiVE303 trial)""}, {""year"": 2023, ""stage"": ""Phase 2"", ""condition"": ""Ulcerative colitis - VE202 (COLLECTiVE202 trial)""}, {""year"": 2021, ""stage"": ""Phase 2"", ""condition"": ""Prevention of recurrent Clostridioides difficile infection (rCDI) - VE303 (CONSORTIUM trial)""}], ""exits"": [{""type"": ""IPO"", ""date"": ""No IPO filed as of 2025"", ""amount"": ""Not applicable; company remains private""}]}"
"Ghahary, Aziz",Discovery of a Novel Anti-fibrogenic factor and its Therapeutic evaluation,Blue Room,FALSE,null,FALSE,null,FALSE,null,0,0,TRUE,200000000,"{""venture_funding"": [{""round"": ""Fund One"", ""year"": 2021, ""amount"": ""Not disclosed"", ""investors"": ""Not specified; Blue Room is a private investment company with proprietary research and community approach""}], ""clinical_trials"": [], ""exits"": [{""type"": ""IPO"", ""date"": ""Planned for late 2023 but withdrawn on January 9, 2024"", ""amount"": ""Planned raise of $200 million IPO withdrawn; no valuation disclosed""}]}"
"Ghahary, Aziz",Discovery of a Novel Anti-fibrogenic factor and its Therapeutic evaluation,Si-Fi,TRUE,540000,FALSE,null,FALSE,null,0,1,FALSE,null,"{""venture_funding"": [{""round"": ""Seed"", ""year"": 2024, ""amount"": ""$540,000"", ""investors"": ""Grow Venture Partners, Unconventional Ventures, MassChallenge, CancerX""}], ""clinical_trials"": [{""year"": 2024, ""stage"": ""Planned"", ""condition"": ""Not specified, related to medical device certification in EU""}], ""exits"": []}"
"Ghahary, Aziz",Discovery of a Novel Anti-fibrogenic factor and its Therapeutic evaluation,TAO Clean,FALSE,null,FALSE,null,FALSE,null,0,0,FALSE,null,"{""venture_funding"": [], ""clinical_trials"": [], ""exits"": []}"
"Gibbings, Derrick J",Technology to build a drug delivery platform for silencing RNAs using exosomes,Hitchhike Therapeutics Inc.,TRUE,2400000,FALSE,null,FALSE,null,0,0,FALSE,null,"{""venture_funding"": [{""round"": ""Seed"", ""year"": 2019, ""amount"": ""CAD $2.4 million"", ""investors"": ""TELUS Ventures""}], ""clinical_trials"": [], ""exits"": []}"
"Gleave, Martin E",Preclinical development of a novel androgen receptor antagonist to treat castration-resistant prostate cancer,Sitka Biopharma,TRUE,2400000,FALSE,null,FALSE,null,3100000,2,FALSE,null,"{""venture_funding"": [{""round"": ""Seed"", ""year"": 2016, ""amount"": ""$2.4M (total seed investment)"", ""investors"": ""Quark Venture Inc., Centre for Drug Research and Development (CDRD), GF Securities, Global Health Sciences Fund (GHS), Canadian Institutes of Health Research (CIHR), Genome British Columbia, National Research Council of Canada\u2019s IRAP Program""}, {""round"": ""Venture - Series Unknown"", ""year"": 2018, ""amount"": ""$1.9M"", ""investors"": ""Quark Venture Inc., GF Securities (Global Health Sciences Fund)""}, {""round"": ""Venture - Series Unknown"", ""year"": 2019, ""amount"": ""$1.2M"", ""investors"": ""Centre for Drug Research and Development (CDRD)""}], ""clinical_trials"": [{""year"": 2017, ""stage"": ""Phase I (planned/initiated)"", ""condition"": ""Bladder cancer""}, {""year"": 2019, ""stage"": ""Phase I (ongoing/planned)"", ""condition"": ""Bladder cancer""}], ""exits"": []}"
"Gleave, Martin E",Preclinical development of a novel androgen receptor antagonist to treat castration-resistant prostate cancer,Sustained Therapeutics,TRUE,0,FALSE,null,FALSE,null,0,4,FALSE,null,"{""venture_funding"": [{""round"": ""Seed"", ""year"": 2022, ""amount"": ""Obfuscated"", ""investors"": ""Creative Destruction Labs""}], ""clinical_trials"": [{""year"": 2021, ""stage"": ""Phase I"", ""condition"": ""Chronic Scrotal Pain""}, {""year"": 2023, ""stage"": ""Phase II"", ""condition"": ""Acute Post-Operative Pain""}, {""year"": 2023, ""stage"": ""Phase II"", ""condition"": ""Chronic Pain""}, {""year"": 2024, ""stage"": ""Phase II/III"", ""condition"": ""Upper Tract Urethral Carcinoma (UTUC)""}], ""exits"": []}"
"Gleave, Martin E",Preclinical development of a novel androgen receptor antagonist to treat castration-resistant prostate cancer,TRiADD Therapeutics,TRUE,60000000,FALSE,null,FALSE,null,null,1,TRUE,null,"{""venture_funding"": [{""round"": ""Series A"", ""year"": 2021, ""amount"": ""$60 million"", ""investors"": ""Panacea Venture, VI Venture, HT Capital, Efung Capital, Lo Co Investment Fund, Jinpu Health Fund, Ruifu Medical Health Fund and other international investors""}], ""clinical_trials"": [{""year"": 2024, ""stage"": ""Clinical Trial Readiness"", ""condition"": ""Charcot-Marie-Tooth (CMT) disease""}], ""exits"": [{""type"": ""Acquisition"", ""date"": ""2012-01-15"", ""amount"": ""Undisclosed"", ""details"": ""Triad Therapeutics was acquired by Aperture Health, Inc.""}]}"
"Glogauer, Michael",Clinical Evaluation of a Chair-side In Vitro Rinse Test for Predicting Onset and Recurrent Adult Periodontitis,OMG Perio,FALSE,null,FALSE,null,FALSE,null,0,0,FALSE,null,"{""venture_funding"": [], ""clinical_trials"": [], ""exits"": []}"
"Glogauer, Michael",Clinical Evaluation of a Chair-side In Vitro Rinse Test for Predicting Onset and Recurrent Adult Periodontitis,Ostia Sciences Inc.,TRUE,1000000,FALSE,null,FALSE,null,[],1,FALSE,null,"{""venture_funding"": [{""round"": ""Seed"", ""year"": 2024, ""amount"": ""Over CAD $1 million"", ""investors"": ""Not specifically disclosed; investment facilitated through exempt market dealer Equivesto with two lead angel investors""}], ""clinical_trials"": [{""year"": 2025, ""stage"": ""Planned to start early 2025"", ""condition"": ""Oral and respiratory diseases (targeting oral health applications)""}], ""exits"": []}"
"Gong, Siew-Ging",,SaliBiotics,,,,,,,,,,,
"Granville, David J",Therapeutic antibody development towards granzyme B,viDA Therapeutics,FALSE,null,FALSE,null,FALSE,null,1800000,1,FALSE,null,"{""venture_funding"": [{""round"": ""Series Unknown"", ""year"": 2013, ""amount"": ""$1.8M"", ""investors"": ""BDC Venture Capital""}], ""clinical_trials"": [{""year"": 2020, ""stage"": ""Preclinical/Advancing to Clinic"", ""condition"": ""Chronic inflammatory and autoimmune diseases including immune-mediated skin diseases (autoimmune blister diseases, dermatitis, itch), ophthalmology (retinal and corneal), musculoskeletal and respiratory (airway epithelium) indications""}], ""exits"": []}"
"Gratzer, Paul F",Decellularization of Human Skin,DeCell Technologies Inc.,TRUE,250,FALSE,null,FALSE,null,null,null,FALSE,null,"{""venture_funding"": [{""round"": ""Seed"", ""year"": 2012, ""amount"": ""$250,000"", ""investors"": ""Innovacorp""}], ""clinical_trials"": [{""year"": 2022, ""stage"": ""Active"", ""condition"": ""Wound healing, specifically diabetic foot ulcers""}], ""exits"": []}"
"Guertin, Pierre",First-in-class Therapeutic Against Urinary Retention (Continence) in Patients with Chronic Spinal Cord Injury and Related Disorders,Eurymedon HealthCare,FALSE,null,FALSE,null,FALSE,null,0,0,FALSE,null,"{""venture_funding"": [], ""clinical_trials"": [], ""exits"": []}"
"Guertin, Pierre",,NeuroSpina Therapeutics,,,,,,,,,,,
"Guertin, Pierre",A Novel Class of Drug Treatment Against Chronic Constipation in Spinal Cord-Injured People,Nordic Life Science Pipeline Inc.,FALSE,null,FALSE,null,FALSE,null,0,1,FALSE,null,"{""venture_funding"": [], ""clinical_trials"": [{""year"": 2014, ""stage"": ""Phase IIb"", ""condition"": ""Spinal Cord Injury (Spinalon)""}], ""exits"": []}"
"Guertin, Pierre",First-in-class Therapeutic Against Urinary Retention (Continence) in Patients with Chronic Spinal Cord Injury and Related Disorders,Trienix Pharma,FALSE,null,FALSE,null,FALSE,null,0,0,FALSE,null,"{""venture_funding"": [], ""clinical_trials"": [], ""exits"": []}"
"Haddad, Elie",,Immugenia,,,,,,,,,,,
"Hancock, Robert Ernest W",Novel anti-inflammatory treatment for Amyotrophic Lateral Sclerosis,ABT Innovations,FALSE,null,FALSE,null,FALSE,null,0,1,FALSE,null,"{""venture_funding"": [], ""clinical_trials"": [{""year"": 2024, ""stage"": ""pre-clinical development"", ""condition"": ""bacterial biofilm infections, anti-inflammatories, anti-infective immune-modulators, vaccine adjuvants""}], ""exits"": []}"
"Hancock, Robert Ernest W",Anti-Biofilm Therapy,ABT Innovations Inc.,FALSE,null,FALSE,null,FALSE,null,0,0,FALSE,null,"{""venture_funding"": [], ""clinical_trials"": [], ""exits"": []}"
"Hancock, Robert Ernest W",Anti-Biofilm Therapy,ASEP Medical Holdings,FALSE,null,FALSE,null,FALSE,null,0,1,TRUE,null,"{""venture_funding"": [{""round"": ""IPO"", ""year"": 2021, ""amount"": ""Not disclosed"", ""investors"": ""Public market investors via Canadian Securities Exchange (CSE: ASEP)""}], ""clinical_trials"": [{""year"": 2024, ""stage"": ""Pre-market/Development"", ""condition"": ""Sepsis and antibiotic-resistant infections""}], ""exits"": [{""type"": ""IPO"", ""date"": ""November 18, 2021"", ""amount"": ""Not disclosed""}]}"
"Hancock, Robert Ernest W",Novel anti-inflammatory treatment for Amyotrophic Lateral Sclerosis,Asep Medical Holdings Inc.,FALSE,null,FALSE,null,FALSE,null,0,2,TRUE,null,"{""venture_funding"": [{""round"": ""IPO"", ""year"": 2021, ""amount"": ""Not specified"", ""investors"": ""Public investors via Canadian Securities Exchange (CSE: ASEP)""}], ""clinical_trials"": [{""year"": 2023, ""stage"": ""Clinical testing ongoing"", ""condition"": ""Sepsis diagnosis and treatment""}, {""year"": 2024, ""stage"": ""Pre-clinical studies expected to lead to fast-track clinical trials"", ""condition"": ""Lead therapeutic for antibiotic-resistant infections""}], ""exits"": [{""type"": ""IPO"", ""date"": ""November 18, 2021"", ""amount"": ""Not specified, public listing on Canadian Securities Exchange (CSE: ASEP), also listed on OTCQB and Frankfurt Stock Exchange""}]}"
"Hancock, Robert Ernest W",Anti-Biofilm Therapy,Asep Medical Holdings Inc. (Asep Inc.),FALSE,null,FALSE,null,FALSE,null,0,2,TRUE,null,"{""venture_funding"": [{""round"": ""IPO"", ""year"": 2021, ""amount"": ""Not specified"", ""investors"": ""Public market via Canadian Securities Exchange (CSE: ASEP), OTCQB (SEPSF), Frankfurt Stock Exchange (FSE: JJ8)""}], ""clinical_trials"": [{""year"": 2023, ""stage"": ""Clinical testing ongoing"", ""condition"": ""Sepsis diagnosis and treatment""}, {""year"": 2024, ""stage"": ""Pre-clinical studies expected to lead to fast-track clinical trials"", ""condition"": ""Lead therapeutic for antibiotic-resistant infections""}], ""exits"": [{""type"": ""IPO"", ""date"": ""November 18, 2021"", ""amount"": ""Not disclosed, public listing on Canadian Securities Exchange""}]}"
"Hanrahan, John W",CFTR modulators as a potential new therapeutic paradigm to treat individuals with COPD,Glantreo,FALSE,null,FALSE,null,FALSE,null,0,0,FALSE,null,"{""venture_funding"": [], ""clinical_trials"": [], ""exits"": []}"
"Hansen, Carl L",Pre-commercial development of single cell antibody selection process,AbCellera Biologics Inc.,TRUE,10000000,TRUE,105000000,FALSE,null,0,4,TRUE,391000000,"{""venture_funding"": [{""round"": ""Series A"", ""year"": 2018, ""amount"": ""$10 million"", ""investors"": ""DCVC Bio (Data Collective), Peter Thiel, Bill Gates, Viking Global Investors, OrbiMed Advisors""}, {""round"": ""Series B"", ""year"": 2020, ""amount"": ""$105 million"", ""investors"": ""Not specified in detail""}], ""clinical_trials"": [{""year"": 2025, ""stage"": ""Phase 1"", ""condition"": ""Moderate-to-severe atopic dermatitis (ABCL575)""}, {""year"": 2025, ""stage"": ""Phase 1"", ""condition"": ""Vasomotor symptoms due to menopause (ABCL635)""}, {""year"": 2020, ""stage"": ""Phase 2/3"", ""condition"": ""COVID-19 antibody LY-CoV555""}, {""year"": 2021, ""stage"": ""Clinical trials"", ""condition"": ""COVID-19 antibody LY-CoV1404 (neutralizes variants)""}], ""exits"": [{""type"": ""IPO"", ""date"": ""December 2020"", ""amount"": ""Raised approximately $391 million"", ""valuation"": ""Approximately $15 billion at IPO""}]}"
"Hebert, Marc","Diagnostic differentiel de la schizophrenie, la depression bipolaire et la depression majeure e l'aide de l'electroretinographie",Chronophotonix,TRUE,0,FALSE,null,TRUE,115000000,0,1,TRUE,null,"{""venture_funding"": [{""round"": ""Seed/Start-up"", ""year"": null, ""amount"": ""funding from Fonds InnovExport"", ""investors"": ""Fonds InnovExport \u2013 CERVO Brain Research Centre""}, {""round"": ""Series C (additional)"", ""year"": 2023, ""amount"": ""$115 million"", ""investors"": ""GV (formerly Google Ventures), Geodesic Capital, Addition, Founders Fund, General Atlantic, Greylock, Glynn Capital, Lux Capital""}], ""clinical_trials"": [{""year"": 2022, ""stage"": ""Phase 2"", ""condition"": ""Metastatic colorectal cancer (anti-EGFR rechallenge therapy guided by circulating tumor DNA)""}], ""exits"": [{""type"": ""Acquisition"", ""date"": ""2024"", ""amount"": null}]}"
"Hebert, Marc","Diagnostic differentiel de la schizophrenie, la depression bipolaire et la depression majeure e l'aide de l'electroretinographie",diaMentis,FALSE,null,FALSE,null,FALSE,null,0,1,FALSE,null,"{""venture_funding"": [], ""clinical_trials"": [{""year"": 2022, ""stage"": ""validation study"", ""condition"": ""schizophrenia, bipolar disorder, major depressive disorder""}], ""exits"": []}"
"Huntsman, David G",,Contextual Genomics Inc.,,,,,,,,,,,
"Husain, Mansoor",Development of an anti-proliferative therapeutic that disrupts CaM-cyclin E interactions in vivo.,Blue Ocean Technologies Inc.,TRUE,10500000,FALSE,null,FALSE,null,0,0,TRUE,165000000,"{""venture_funding"": [{""round"": ""Series A"", ""year"": 2021, ""amount"": ""$10.5M"", ""investors"": ""Urbana Corporation""}], ""clinical_trials"": [], ""exits"": [{""type"": ""IPO"", ""date"": ""December 3, 2021"", ""amount"": ""$165 million""}]}"
"Husain, Mansoor",Development of an anti-proliferative therapeutic that disrupts CaM-cyclin E interactions in vivo.,Scientific Design Company,FALSE,null,FALSE,null,FALSE,null,0,0,TRUE,null,"{""venture_funding"": [], ""clinical_trials"": [], ""exits"": [{""type"": ""acquisition"", ""date"": ""2022-02-02"", ""amount"": ""not disclosed"", ""valuation"": ""not disclosed"", ""details"": ""Scientific Design Company was acquired by SABIC in a joint venture with Clariant, which sold a 50% stake in Scientific Design Company to SABIC.""}]}"
"Husain, Mansoor",Development of an anti-proliferative therapeutic that disrupts CaM-cyclin E interactions in vivo.,Unnamed Canadian biopharmaceutical company,TRUE,7000000,TRUE,121000000,FALSE,null,0,5,TRUE,2300000000,"{""venture_funding"": [{""round"": ""Series A"", ""year"": 2019, ""amount"": ""$7 million"", ""investors"": ""Lumira Capital, Inveready Technology Investment Group, Pharmascience Inc., two Canadian family offices""}, {""round"": ""Series A"", ""year"": 2023, ""amount"": ""$92 million"", ""investors"": ""Cormorant Asset Management, Atlas Venture, OrbiMed, Viking Global Investors, Invus, Polaris Partners, Alexandria Venture Investments, others""}, {""round"": ""Series B"", ""year"": 2023, ""amount"": ""$121 million"", ""investors"": ""Bessemer Venture Partners, Amgen Ventures, Codon Capital, Alexandria Venture Investments, Gaingels, GC&H, Timothy A. Springer, Lightspeed Venture Partners, Polaris Partners, Boxer Capital, GV, Samsara BioCapital, others""}], ""clinical_trials"": [{""year"": 2020, ""stage"": ""Phase 1"", ""condition"": ""Acute Respiratory Distress Syndrome (ARDS) from COVID-19""}, {""year"": 2021, ""stage"": ""Phase 2"", ""condition"": ""Contact Dermatitis""}, {""year"": 2023, ""stage"": ""Phase 3"", ""condition"": ""Acute Respiratory Distress Syndrome (ARDS) in COVID-19 patients""}, {""year"": 2023, ""stage"": ""Phase 3 (expected completion Oct 2023)"", ""condition"": ""HR+, HER2- Locally Advanced or Metastatic Breast Cancer""}, {""year"": 2024, ""stage"": ""Phase 2 (planned)"", ""condition"": ""Major Depressive Disorder (MDD)""}], ""exits"": [{""type"": ""acquisition"", ""date"": ""2021"", ""amount"": ""$2.3 billion"", ""details"": ""Pfizer acquired Trillium Therapeutics""}, {""type"": ""acquisition"", ""date"": ""2020"", ""amount"": ""$270 million"", ""details"": ""Belgium\u2019s UCB acquired Engage Therapeutics""}]}"
"Hysi, Eno",Commercialization of H-scan: a new tool for imaging kidney fibrosis,Fibrocor Therapeutics,TRUE,2800000,FALSE,null,FALSE,null,null,null,FALSE,null,"{""venture_funding"": [{""round"": ""Seed"", ""year"": 2017, ""amount"": ""CDN$2.8 million (approx. $2.1 million USD)"", ""investors"": ""MaRS Innovation, Evotec AG (equity stake)""}, {""round"": ""Incubator/Accelerator"", ""year"": 2019, ""amount"": ""Undisclosed"", ""investors"": ""JLabs""}, {""round"": ""Venture - Series Unknown"", ""year"": 2020, ""amount"": ""Undisclosed"", ""investors"": ""BioGeneration Ventures, Toronto Innovation Acceleration Partners""}], ""clinical_trials"": [{""year"": 2025, ""stage"": ""Phase 1 (planned)"", ""condition"": ""Alport Syndrome (monoclonal antibody FIB918)""}, {""year"": 2025, ""stage"": ""Phase 1 (planned)"", ""condition"": ""Chronic allograft nephropathy (compound FIB991)""}, {""year"": 2024, ""stage"": ""IND-enabling phase"", ""condition"": ""Alport Syndrome (FIB918)""}], ""exits"": []}"
"Hysi, Eno",Commercialization of H-scan: a new tool for imaging kidney fibrosis,ScarDx,FALSE,null,FALSE,null,FALSE,null,0,1,FALSE,null,"{""venture_funding"": [{""round"": ""Critical Technologies Program funding"", ""year"": 2024, ""amount"": ""significant funding (exact amount not specified)"", ""investors"": ""Toronto Innovation Acceleration Partners (TIAP), supported by Government of Ontario""}], ""clinical_trials"": [{""year"": 2024, ""stage"": ""pre-clinical and clinical trials (planned)"", ""condition"": ""fibrosis (anti-fibrotic drug testing)""}], ""exits"": []}"
"Jaffray, David A",Advanced Handheld SPECT System for Intraoperative Guidance,Acumyn,FALSE,null,FALSE,null,FALSE,null,0,0,TRUE,null,"{""venture_funding"": [], ""clinical_trials"": [], ""exits"": [{""type"": ""acquisition"", ""date"": ""2018-07-27"", ""amount"": ""undisclosed"", ""details"": ""Acumyn was acquired by Elekta, a Swedish medical technology company, in July 2018. Acumyn is a stand-alone commercial spin-off of University Hospital Network, Toronto, specializing in quality assurance software for radiotherapy clinics.""}]}"
"Jaffray, David A",Advanced Handheld SPECT System for Intraoperative Guidance,Nanovista Inc.,TRUE,2300000,FALSE,null,FALSE,null,0,1,FALSE,null,"{""venture_funding"": [{""round"": ""Seed"", ""year"": 2018, ""amount"": ""$2.3M"", ""investors"": ""GreenSky Capital Inc. and its affiliated venture funds, GreenSky Accelerator Fund I and GreenSky Accelerator Fund II""}], ""clinical_trials"": [{""year"": 2018, ""stage"": ""Phase I"", ""condition"": ""Head and neck cancer, lung cancer""}], ""exits"": []}"
"Juncker, David",Clinical validation of an innovative multiplex antibody microarray platform,Nomic,TRUE,17000000,TRUE,42000000,FALSE,null,0,0,FALSE,null,"{""venture_funding"": [{""round"": ""Series A"", ""year"": 2023, ""amount"": ""$17 million"", ""investors"": ""Coatue, Contrary Capital, Betaworks Ventures, SV Angel, Story Ventures, Factorial Capital""}, {""round"": ""Series B"", ""year"": 2024, ""amount"": ""$42 million"", ""investors"": ""Undisclosed U.S.-based life-sciences-focused investor, Amplitude Ventures, AVANT BIO, Lux Capital, Real Ventures, SR One""}], ""clinical_trials"": [], ""exits"": []}"
"Kastrup, Christian J",Self-Propelling Hemostatic Particles that Treat Severe Bleeding,CoMotion Drug Delivery Systems,FALSE,null,FALSE,null,FALSE,null,0,2,FALSE,null,"{""venture_funding"": [{""round"": ""Not explicitly stated"", ""year"": null, ""amount"": ""Not found"", ""investors"": ""No specific investors found in search results""}], ""clinical_trials"": [{""year"": 2023, ""stage"": ""Preclinical/animal model"", ""condition"": ""Upper gastrointestinal bleeding (hemostasis)""}, {""year"": null, ""stage"": ""Ongoing research and development"", ""condition"": ""Severe combat and surgical hemorrhage""}], ""exits"": []}"
"Kastrup, Christian J",Self-Propelling Hemostatic Particles that Treat Severe Bleeding,NanoVation Therapeutics,TRUE,null,FALSE,null,FALSE,null,null,null,FALSE,null,"{""venture_funding"": [{""round"": ""Seed"", ""year"": 2024, ""amount"": ""undisclosed"", ""investors"": ""Convergent Ventures, Innovate BC""}], ""clinical_trials"": [], ""exits"": []}"
"Kastrup, Christian J",Self-Propelling Hemostatic Particles that Treat Severe Bleeding,SeraGene Therapeutics,TRUE,27000000,FALSE,null,FALSE,null,0,1,FALSE,null,"{""venture_funding"": [{""round"": ""Series A"", ""year"": 2024, ""amount"": ""$27 million"", ""investors"": ""Syndicate being established, details not fully disclosed""}], ""clinical_trials"": [{""year"": 2024, ""stage"": ""Preclinical"", ""condition"": ""Coagulation disorders including bleeding disorders and thrombosis""}], ""exits"": []}"
"Kelley, Shana O",Clinical validation of low-cost ultrasensitive electronic molecular  diagnostics,Arma Biosciences,FALSE,null,FALSE,null,FALSE,null,0,0,FALSE,null,"{""venture_funding"": [{""round"": ""Non-equity Assistance"", ""year"": 2020, ""amount"": ""Undisclosed"", ""investors"": ""Creative Destruction Lab (CDL)""}], ""clinical_trials"": [], ""exits"": []}"
"Kelley, Shana O",Clinical validation of low-cost ultrasensitive electronic molecular  diagnostics,CTRL Therapeutics,TRUE,10000000,FALSE,null,FALSE,null,0,1,FALSE,null,"{""venture_funding"": [{""round"": ""Seed"", ""year"": 2023, ""amount"": ""$10 million"", ""investors"": ""General Catalyst (lead), Intermountain Health, FACIT, and others""}], ""clinical_trials"": [{""year"": 2025, ""stage"": ""Preclinical development, expected to enter clinical trials"", ""condition"": ""Solid tumors""}], ""exits"": []}"
"Kelley, Shana O",Clinical validation of low-cost ultrasensitive electronic molecular  diagnostics,Xagenic Inc.,TRUE,10000000,TRUE,20000000,FALSE,null,0,1,TRUE,null,"{""venture_funding"": [{""round"": ""Series A"", ""year"": 2012, ""amount"": ""$10 million"", ""investors"": ""CTI Life Sciences Fund, Ontario Emerging Technologies Fund, QIAGEN N.V.""}, {""round"": ""Series B"", ""year"": 2013, ""amount"": ""$20 million initially, later increased to $25.5 million"", ""investors"": ""Domain Associates, CTI Life Sciences Fund, Ontario Emerging Technologies Fund, BDC Capital, Ontario Capital Growth Corporation""}], ""clinical_trials"": [{""year"": 2015, ""stage"": ""Beta studies and preparation for major clinical trial"", ""condition"": ""Chlamydia and gonorrhea infectious diseases""}], ""exits"": [{""type"": ""Acquisition"", ""date"": ""January 25, 2018"", ""amount"": ""Undisclosed"", ""details"": ""Certain assets of Xagenic Inc. were acquired by General Atomics Electromagnetic Systems Group (GA-EMS)""}]}"
"Kizhakkedathu, Jayachandran N",Preclinical Development of a Glucose-Free Peritoneal Dialysis Solution,Avivo Biomedical Inc.,TRUE,0,FALSE,null,FALSE,null,0,2,FALSE,null,"{""venture_funding"": [{""round"": ""Seed"", ""year"": 2022, ""amount"": ""substantially upsized seed financing (exact amount not specified)"", ""investors"": ""Genome British Columbia, Little Green Bamboo Capital, WUTIF Capital, HATCH Venture Builder, The University of British Columbia, and others""}], ""clinical_trials"": [{""year"": 2023, ""stage"": ""Preclinical"", ""condition"": ""Blood type conversion for organ transplantation and blood transfusion""}, {""year"": 2025, ""stage"": ""Preclinical/early clinical development"", ""condition"": ""Living donor kidney transplantation (collaboration with Mayo Clinic)""}], ""exits"": []}"
"Kizhakkedathu, Jayachandran N",Novel Infection Resistant Coating in an Era of Drug Resistant Bacteria for the Treatment and Prevention of Medical Device Infection,Avivo Labs Inc.,TRUE,3110000,FALSE,null,FALSE,null,0,1,FALSE,null,"{""venture_funding"": [{""round"": ""Seed/Pre-Series A"", ""year"": 2020, ""amount"": ""$3.11M"", ""investors"": ""Genome British Columbia, Little Green Bamboo Capital, WUTIF Capital, HATCH Venture Builder, The University of British Columbia""}], ""clinical_trials"": [{""year"": 2023, ""stage"": ""Preclinical/early development"", ""condition"": ""Blood type conversion for organ transplantation""}], ""exits"": []}"
"Kotra, Lakshmi P",In vivo efficacy studies on KP-218 as a potential MS therapeutic agent,Lucid Psycheceuticals,FALSE,null,FALSE,null,FALSE,null,9000000,1,TRUE,9000000,"{""venture_funding"": [{""round"": ""Acquisition"", ""year"": 2021, ""amount"": ""Approximately US$9 million (CAD$11.3 million) in FSD Pharma stock"", ""investors"": ""FSD Pharma Inc.""}], ""clinical_trials"": [{""year"": 2023, ""stage"": ""Phase 1"", ""condition"": ""Multiple Sclerosis (Lucid-21-302 / Lucid-MS)""}], ""exits"": [{""type"": ""Acquisition"", ""date"": ""August 25, 2021"", ""amount"": ""Approximately US$9 million (CAD$11.3 million) valuation by FSD Pharma Inc.""}]}"
"Lam, Stephen",CTAP III for detection of early lung cancer and monitoring treatment outcome,Coinvenience,FALSE,null,FALSE,null,FALSE,null,0,0,TRUE,null,"{""venture_funding"": [], ""clinical_trials"": [], ""exits"": [{""type"": ""IPO"", ""date"": ""Second half of 2026"", ""amount"": ""Not specified, but expected to raise significant capital"", ""details"": ""Seven & i Holdings plans to pursue an initial public offering (IPO) of 7-Eleven Inc., its North American convenience store business, by the second half of 2026 on a major U.S. stock exchange. This will create two independent companies with Seven & i retaining majority share of 7-Eleven. The IPO aims to increase financial flexibility and decision-making autonomy for 7-Eleven in North America.""}]}"
"Leavitt, Blair R",Lipid Nanoparticle-Mediated Delivery of CRISPR/Cas9 Gene Editing for Neurological Disorders.,Incisive Genetics Inc.,TRUE,2500000,FALSE,null,FALSE,null,0,1,FALSE,null,"{""venture_funding"": [{""round"": ""Seed"", ""year"": 2021, ""amount"": ""$2.5 million"", ""investors"": ""Noel Hall, Sandra MacPherson, Haig Farris, University of British Columbia, MacHall Group""}], ""clinical_trials"": [{""year"": 2021, ""stage"": ""Pre-clinical"", ""condition"": ""Neurologic and ocular genetic diseases""}], ""exits"": []}"
"Li, Shyh-Dar",,NanoStar Pharmaceuticals Ltd,,,,,,,,,,,
"Liu, Fang",Development of peptide therapeutics via nasal delivery for major depression disorder,"Beijing Amio Robot Technology Co., Ltd.",FALSE,null,FALSE,null,FALSE,null,0,0,FALSE,null,"{""venture_funding"": [], ""clinical_trials"": [], ""exits"": []}"
"Logsetty, Sarvesh",The effects of a novel hydrogel coating on commercial antimicrobial dressings.,ParaNano Wound Care,FALSE,null,FALSE,null,FALSE,null,0,0,FALSE,null,"{""venture_funding"": [{""round"": ""Incubator/Accelerator"", ""year"": null, ""amount"": null, ""investors"": ""JLabs""}], ""clinical_trials"": [], ""exits"": []}"
"Lubell, William D","Treating Age-Related Macular Degeneration by Mitigating Inflammation, Oxidative Stress, and Lipid Accumulation through CD36 Modulation",Mperia Therapeutics Inc.,FALSE,null,FALSE,null,FALSE,null,0,0,FALSE,null,"{""venture_funding"": [], ""clinical_trials"": [], ""exits"": []}"
