Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months,Primary_Institute,Research_Categories,Funding_Start,Funding_End,title_keywords,patents
"Yuen, Darren A",University of Toronto,Collaborative Health Research Projects (NSERC partnered),201810CPG,Collaborative Health Research Projects - NSERC Partnered,"Using ""enhanced ultrasound"" to help select the best kidneys for transplantation","$491,750",$0,3 yrs 0 mth ,"Nutrition, Metabolism and Diabetes","GENITO/URINARY SYSTEM; MULTIDISCIPLINARY; RENAL FUNCTION, NEPHROLOGY, UROLOGY; IMAGING",2019-04-01,2022-03-31,"ultrasound, kidneys, transplantation",3
"Shultz, Sandy","Vancouver Island University (Nanaimo, BC)",Op. Grant: NWHRI: Innovation Fund - Translational Research,202403NW3,National Women's Health Research Initiative: Innovation Fund,Psilocybin-assisted therapy for post-traumatic stress disorder (PTSD) in intimate partner violence (IPV) survivors,"$599,500",$0,2 yrs 10 mths ,Gender and Health,MENTAL AND BEHAVIOURAL DISEASES; NONE OF THE ABOVE; MENTAL HEALTH; HEALTH RESEARCH,2024-06-01,2027-03-31,"Psilocybin, PTSD, survivors",0
"Schild-Poulter, Caroline",Western University (Ontario),Project Grant,201909PJT,Cancer Biology & Therapeutics 2,Tumour-suppressive regulation of the Wnt/e-catenin signaling pathway by the CTLH complex,"$807,075",$0,5 yrs 0 mth ,Cancer Research,Cancer-Mechanisms of Carcinogenesis,2020-04-01,2025-03-31,"Wnt, e-catenin, CTLH",0
"Guerin, Brigitte",Universite de Sherbrooke,Operating Grant,201109MOP,Cancer Biology & Therapeutics,Radiolabelled peptides to improve cancer diagnosis by positron emission tomography / Peptides radiomarques pour ameliorer le diagnostic du cancer par tomographie e emission de positron,"$710,710",$0,5 yrs 0 mth ,Cancer Research,BREAST CANCER; PROSTATE AND BLADDER CANCER; CANCER; IMAGING,2012-04-01,2017-03-31,"radiolabelled peptides, cancer diagnosis, positron emission tomography",2
"Mohamed, Ali Bedaiwy",University of British Columbia,Catalyst Grant: NWHRI: Innovation Fund - Biomedical Discovery Grants,202307NWI,NWHRI: Innovation Fund - Biomedical Discovery Grants,Prediction of Pregnancy Outcomes Using Point-of-Care First Trimester Biomarkers in a Recurrent Pregnancy Loss Population,"$111,386",$0,1 yr 0 mth ,Gender and Health,PREGNANCY/BIRTH; REPRODUCTION/PREGNANCY; HEALTH RESEARCH,2024-02-01,2025-01-31,"Pregnancy, Biomarkers, Prediction",0
"Krzeczkowski, John E",Brock University (Ontario),Catalyst Grant: NWHRI: Innovation Fund - Biomedical Discovery Grants,202307NWI,NWHRI: Innovation Fund - Biomedical Discovery Grants,Identifying epigenetic biomarkers of the response to cognitive behavioural therapy in mothers/birthing parents treated for postpartum depression,"$146,230",$0,1 yr 0 mth ,Gender and Health,DEPRESSION; MENTAL AND BEHAVIOURAL DISEASES; MENTAL HEALTH; NERVOUS SYSTEM,2024-02-01,2025-01-31,"epigenetic, biomarkers, postpartum depression",0
"Stanisz, Greg J","Sunnybrook Research Institute (Toronto, Ontario)",Project Grant,202403PJT,Medical Physics & Imaging,"Combining Advanced Metabolic MRI with Genomics to Refine the Treatment Paradigm for Grade 2/3 IDH-wildtype Astrocytoma (""Molecular Glioblastoma"")","$787,950",$0,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Progression and Metastasis; Neurosciences-Neurological disorders,2024-10-01,2029-09-30,"Metabolic MRI, Genomics, Astrocytoma",0
"Leonardi, Mathew",McMaster University,Op. Grant: NWHRI: Innovation Fund - Translational Research,202403NW3,National Women's Health Research Initiative: Innovation Fund,Development of a Novel Non-Surgical Endometriosis Diagnostic by Combining an Ultrasound-Based Procedure with Single Molecule Arrays (SIMOA),"$598,183",$0,2 yrs 10 mths ,Gender and Health,INFERTILITY FEMALE; SUPPLEMENTARY CLASSIFICATIONS; REPRODUCTION/PREGNANCY; BIOCHEMISTRY,2024-06-01,2027-03-31,"Endometriosis, Ultrasound, SIMOA",0
"Shultz, Sandy","Vancouver Island University (Nanaimo, BC)",Catalyst Grant: NWHRI: Innovation Fund - Biomedical Discovery Grants,202307NWI,NWHRI: Innovation Fund - Biomedical Discovery Grants,Blood biomarkers to detect brain injury due to intimate partner violence,"$149,720",$0,1 yr 0 mth ,Gender and Health,"INJURY, REGENERATION; NONE OF THE ABOVE; NERVOUS SYSTEM; MENTAL HEALTH",2024-02-01,2025-01-31,"blood biomarkers, brain injury, partner violence",0
"Bolduc, Stephane",Universite Laval,Operating Grant,201109MOP,Biomedical Engineering,Reconstruction de tissus urologiques par genie tissulaire.,"$727,135",$0,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,"GENITO/URINARY SYSTEM; INJURY, REGENERATION; RENAL FUNCTION, NEPHROLOGY, UROLOGY; CELL BIOLOGY",2012-04-01,2017-03-31,"tissus, génie tissulaire",0
"Christie, Brian R",University of Victoria (British Columbia),Catalyst Grant: NWHRI: Innovation Fund - Biomedical Discovery Grants,202307NWI,NWHRI: Innovation Fund - Biomedical Discovery Grants,The pathophysiology and blood biomarkers of brain injury in intimate partner violence: Insights from a new rat model,"$150,000",$0,1 yr 0 mth ,Gender and Health,"INJURY, REGENERATION; MENTAL DISABILITY; NERVOUS SYSTEM; MENTAL HEALTH",2024-02-01,2025-01-31,"brain injury, blood biomarkers, rat model",0
"Prodger, Jessica L",Western University (Ontario),Catalyst Grant: NWHRI: Innovation Fund - Biomedical Discovery Grants,202307NWI,NWHRI: Innovation Fund - Biomedical Discovery Grants,Identifying causes of neovaginal malodour in transfeminine people,"$149,115",$0,1 yr 0 mth ,Gender and Health,HEALTH RESEARCH,2024-02-01,2025-01-31,"neovaginal, malodour, transfeminine",0
"Cohen, Eric A",Institut de recherches cliniques de Montreal,Team Grant: Canadian Initiative for HIV Cure Research,201306HIG,HIV Cure Research,The Canadian HIV Cure Enterprise (CanCURE),"$8,569,071",$0,5 yrs 0 mth ,Infection and Immunity,AIDS; VIRAL; VIROLOGY; IMMUNOLOGY-TRANSPLANTATION,2014-01-01,2018-12-31,"HIV, Cure, Enterprise",0
"Derda, Ratmir",University of Alberta,Project Grant,202109PJT,Cancer Biology & Therapeutics,"Probing the Role of Glycans in Immunooncology using Genetically Encoded ""Liquid Glycan Arrays""","$944,775",$0,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,2022-04-01,2027-03-31,"Glycans, Immunooncology, Arrays",0
"Leong, Hon Sing","Sunnybrook Research Institute (Toronto, Ontario)",Project Grant,202203PJT,Cancer Progression & Therapeutics 2,"'Two-Step Authentication' for Optimal Prostate Cancer Risk Determination: An ""Extracellular Vesicle""-Based Liquid Biopsy Followed by Multi-Parametric MRI.","$1,637,100",$0,5 yrs 0 mth ,Cancer Research,Cancer-Clinical Oncology; Biomedical Engineering-Biomedical Imaging,2022-10-01,2027-09-30,"Extracellular Vesicle, Liquid Biopsy, MRI",1
"Gaillet, Bruno",Universite Laval,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,elaboration d'un procede de production de cellules therapeutiques autologues destine au traitement de la Dystrophie musculaire de Duchenne,"$225,592",$0,3 yrs 0 mth ,Musculoskeletal Health and Arthritis,"MULTIDISCIPLINARY; MUSCULAR DYSTROPHY; MUSCLE, BONE, OR JOINT; HEALTH RESEARCH",2014-04-01,2017-03-31,"cellules, autologues, dystrophie",0
"McLaughlin, Kelsey M",Sinai Health System (Toronto),Catalyst Grant: NWHRI: Innovation Fund - Biomedical Discovery Grants,202307NWI,NWHRI: Innovation Fund - Biomedical Discovery Grants,Redefining the diagnosis and treatment of hypertension in pregnancy through the integration of placental growth factor (PlGF) testing.,"$123,234",$0,1 yr 0 mth ,Circulatory and Respiratory Health,PREGNANCY/BIRTH; HYPERTENSION; REPRODUCTION/PREGNANCY; CARDIOVASCULAR,2024-02-01,2025-01-31,"hypertension, pregnancy, placental growth factor",0
"Pukall, Caroline F","Queen's University (Kingston, Ontario)",Op. Grant: NWHRI: Innovation Fund - Translational Research,202403NW3,National Women's Health Research Initiative: Innovation Fund,Examining the efficacy of a multimodal virtual program on pain and sexual outcomes in individuals with provoked vestibulodynia: A randomized clinical trial,"$599,086",$0,2 yrs 10 mths ,Gender and Health,GENITO/URINARY SYSTEM; HEALTH RESEARCH,2024-06-01,2027-03-31,"virtual, pain, vestibulodynia",0
"Morin, Melanie",Universite de Sherbrooke,Catalyst Grant: NWHRI: Innovation Fund - Biomedical Discovery Grants,202307NWI,NWHRI: Innovation Fund - Biomedical Discovery Grants,Punctures physiotherapiques avec aiguilles seches pour la vestibulodynie provoquee: une etude de faisabilite et d'acceptabilite randomisee et contrelee,"$149,971",$0,1 yr 0 mth ,Gender and Health,"GENITO/URINARY SYSTEM; MULTIDISCIPLINARY; REPRODUCTION/PREGNANCY; MUSCLE, BONE, OR JOINT",2024-02-01,2025-01-31,"punctures, physiotherapy, vestibulodynia",0
"Champagne, Pierre-Olivier",Universite Laval,Project Grant,202303PJT,Biomedical Engineering 2,Organogenese de muqueuse nasale autologue pour la reconstruction endoscopique endonasale en chirurgie de la base du crene,"$669,376",$0,5 yrs 0 mth ,Cancer Research,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics",2023-10-01,2028-09-30,"organogenese, muqueuse nasale, reconstruction",0
