Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title, CIHR_Contribution , CIHR_Equipment , External_Funding ,External_Funding_Partner,Term_Years_Months,Primary_Institute,Research_Categories,Funding_Start,Funding_End,Patents,title_keywords,companies,companies_count
"Johnsrude, Ingrid S; Cook, Douglas J; Munoz, Douglas P; Pike, G. Bruce; Ptito, Alain","Queen's University (Kingston, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,Quantitative functional magnetic resonance imaging for the management of brain injuries," $400,007 ", $-   , $-   ,,3 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",CNS ORGANIC; ILL-DEFINED CONDITIONS; IMAGING; HEALTH SERVICES RESEARCH,4/1/2014,2017-03-31,0,"functional magnetic resonance imaging, brain injuries",,
"Jolicoeur, Marc E",Montreal Heart Institute,Quebec,Operating Grant: Industry-partnered Collaborative Research,201303IPR,Industry Partnered Collaborative Research,Immediate vs. Delayed Stenting after Primary Percutaneous Reperfusion in ST Elevation Myocardial Infarction," $211,072 ", $-   , $-   ,,3 yrs 0 mth ,Circulatory and Respiratory Health,CARDIOLOGY; CARDIOVASCULAR,10/1/2013,2016-09-30,0,"stenting, reperfusion, myocardial infarction",,
"Jolicoeur, Paul",Institut de recherches cliniques de Montr�al,Quebec,Catalyst Grant: HIV/AIDS Vaccine Discovery Research (Can HIV Vaccine Initiative),200811CHV,HIV Vaccine Discovery,Dissecting the mechanisms of protection by attenuated Nef-deleted HIV vaccine," $100,000 ", $-   , $-   ,,1 yr 0 mth ,Infection and Immunity,AIDS; VIRAL; VIROLOGY; IMMUNOLOGY-TRANSPLANTATION,3/1/2009,2010-02-28,0,"HIV, vaccine, Nef",,
"Jolly, Sanjit S",McMaster University,Ontario,Operating Grant: Industry-partnered Collaborative Research,201109IPR,Industry Partnered Collaborative Research,A randomized trial of ThrOmbectomy vs. PCI Alone for STEMI (TOTAL trial)," $796,316 ", $-   , $-   ,,3 yrs 6 mths ,Circulatory and Respiratory Health,CORONARY CIRCULATION (INCL. INSUFFICIENCY); CARDIOVASCULAR,4/1/2012,2015-09-30,0,"Thrombectomy, PCI, STEMI",,
"Jones, Courtney L",University Health Network (Toronto),Ontario,Project Grant,202010PJT,Cancer Biology & Therapeutics 2,Characterization and Targeting of SIRT3 in Acute Myeloid Leukemia Stem Cells," $921,825 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,4/1/2021,2026-03-31,0,"SIRT3, Acute Myeloid Leukemia, Stem Cells",,
"Jones, Glenville","Queen's University (Kingston, Ontario)",Ontario,Operating Grant: Industry-partnered Collaborative Research - Other Partner,200903ISO,Industry Partnered Collaborative Research,Mechanistic basis for the metabolic differences between vitamin D2 and vitamin D3," $84,359 "," $5,000 ", $-   ,,1 yr 0 mth ,"Nutrition, Metabolism and Diabetes",ENDOCRINOLOGY; METABOLISM AND NUTRITION; BIOCHEMISTRY,10/1/2009,2010-09-30,0,"metabolic, vitamin D, D2, D3",,
"Jones, Russell G",McGill University,Quebec,Operating Grant,200809MOP,Cancer Biology & Therapeutics,Role of the AMP-activated protein kinase (AMPK) in stress resistance and cancer," $533,730 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; AGING; CANCER,4/1/2009,2013-03-31,0,"AMP-activated protein kinase, stress resistance, cancer",,
"Jones, Russell G",McGill University,Quebec,Project Grant,201709PJT,Cancer Biology & Therapeutics,Investigating LKB1-mediated inflammation as a mediator of tumour progression," $837,675 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,"Cancer-Mechanisms of Carcinogenesis; Cancer-Cancer Progression and Metastasis; Immunology and Infection-Transplantation, Immune Tolerance and Tumor Immunology",4/1/2018,2023-03-31,0,"LKB1, inflammation, tumour progression",,
"Jones, Steven","Simon Fraser University (Burnaby, B.C.)",British Columbia,Operating Grant,201503MOP,Cancer Progression & Therapeutics,Modulators of epigenomic processes - a novel approach to cancer therapy," $560,420 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; CANCER; DRUG RESEARCH,7/1/2015,2019-06-30,0,"epigenomic, modulators, cancer",,
"Ju, MyeongJin; Beg, Mirza Faisal; Navajas, Eduardo",University of British Columbia,British Columbia,Project Grant,202210PJT,Medical Physics & Imaging,Advanced Multi-parametric Retinal Imaging for AMD Classification Modeling," $100,000 ", $-   , $-   ,,1 yr 0 mth ,Aging,Biomedical Engineering-Biomedical Imaging; Aging-Aging Process and Biological Determinants of Aging; Methods Development and Modelling-Quantitative Methods Development for Health Research,4/1/2023,2024-03-31,0,"Retinal imaging, AMD, classification",,
"Juncker, David",McGill University,Quebec,Project Grant,201803PJT,Biomedical Engineering,Microfiltration of Circulating and Disseminated Tumor Cells in Ovarian Cancer: From Monitoring Therapeutic Response Towards Predicting Disease Outcome," $382,500 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation; Methods Development and Modelling-Quantitative Methods Development for Health Research; Cancer-Cancer Progression and Metastasis",10/1/2018,2021-09-30,0,"Microfiltration, Tumor Cells, Ovarian Cancer",,
"Juncker, David",McGill University,Quebec,Project Grant,202109PJT,Biomedical Engineering,Single-cell imaging affinity proteomics of microfiltered circulating tumor cells: Uncovering biomarkers in colorectal cancer liver metastasis," $895,050 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Biomedical Engineering-Biomedical Imaging,4/1/2022,2027-03-31,0,"single-cell imaging, proteomics, circulating tumor cells",,
"Kaartinen, Mari T",McGill University,Quebec,"Catalyst Grant: Invention and High-Risk, High-Benefit Research",201003NHG,"Inventions, Technologies, or High Risk Grants",Regulation of adipogenesis by osteocalcin," $191,400 ", $-   , $-   ,,2 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",OBESITY; METABOLISM AND NUTRITION; CELL BIOLOGY; BIOCHEMISTRY,10/1/2010,2012-09-30,0,"adipogenesis, osteocalcin",,
"Kadoury, Samuel; Roberge, David; Leblond, Frederic; Menard, Cynthia; Trudel, Dominique",Polytechnique Montr�al,Quebec,Collaborative Health Research Projects (NSERC partnered),201711CPG,Collaborative Health Research Projects - NSERC Partnered,Image-Guided Molecular Optical Spectroscopy for Tumor-Targeted Prostate Cancer Interventions," $201,422 "," $71,937 ", $-   ,,3 yrs 0 mth ,Cancer Research,PROSTATE AND BLADDER CANCER; IMAGING; CANCER,4/1/2018,2021-03-31,0,"Image-Guided, Molecular, Spectroscopy",,
"Kadoury, Samuel; Soulez, Gilles",Polytechnique Montr�al,Quebec,Project Grant,202010PJT,Medical Physics & Imaging,Multimodal Sensing Guidewire with Random Optical Gratings by Ultraviolet laser Exposure for Peripheral Vascular Interventions," $543,150 ", $-   , $-   ,,5 yrs 0 mth ,Circulatory and Respiratory Health,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation",4/1/2021,2026-03-31,0,"Sensing, Guidewire, Optical Gratings",,
"Kain, Kevin C; Dholakia, Yatin; Fawzi, Wafaie W",University Health Network (Toronto),Ontario,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Therapeutics,202005VR3,COVID-19 Rapid Research - Therapeutics,"A Randomized trial to determine the effect of vitamin D and zinc supplementation for improving treatment outcomes among COVID-19 patients in Mumbai, India"," $887,006 ", $-   , $-   ,,1 yr 0 mth ,Infection and Immunity,INFECTIOUS AND PARASITIC; MALNUTRITION; NUTRITION; INTERNATIONAL HEALTH,6/1/2020,2021-05-31,0,"vitamin D, zinc, COVID-19",,
"Kairy, Dahlia",Universit� de Montr�al,Quebec,Catalyst Grant: Personalized Health Catalyst Grants,201706PCG,Personalized Health - novel e-health applications,Optimizing a home-based virtual reality exercise program for chronic stroke patients: A telerehabilitation approach," $197,481 ", $-   , $-   ,,2 yrs 0 mth ,Circulatory and Respiratory Health,"STROKE, HEART FAILURE; HEALTH CARE DELIVERY; NERVOUS SYSTEM; AGING",9/1/2017,2019-08-31,0,"virtual reality, telerehabilitation, stroke",,
"Kallos, Michael S",University of Calgary,Alberta,Project Grant,201909PJT,Biomedical Engineering,Enabling Cellular Therapy Biomanufacturing through Integrated Modeling of Fluid Dynamics and Cellular Metabolism in Bioreactors," $841,500 ", $-   , $-   ,,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,Biomedical Engineering-Regenerative Medicine and Tissue Engineering,4/1/2020,2025-03-31,0,"Cellular therapy, Biomanufacturing, Bioreactors",,
"Kandel, Rita A",Sinai Health System (Toronto),Ontario,Operating Grant,201503MOP,Biomedical Engineering,Tissue engineering an intervertebral disc replacement," $768,657 ", $-   , $-   ,,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,"MUSCULO SKELETAL; MULTIDISCIPLINARY; MUSCLE, BONE, OR JOINT; HEALTH RESEARCH",7/1/2015,2021-06-30,0,"tissue engineering, intervertebral disc",,
"Kandel, Rita A",Sinai Health System (Toronto),Ontario,Project Grant,202203PJT,Biomedical Engineering,An intervertebral disc replacement: a regenerative medicine approach," $1,170,450 ", $-   , $-   ,,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,"Musculoskeletal Health-Bone, Skin and Cartilage Sciences; Aging-Aging Process and Biological Determinants of Aging",10/1/2022,2027-09-30,0,"intervertebral disc, regenerative medicine, replacement",,
"Kandel, Rita A; Schubert, Carl; Toyserkani, Ehsan",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201711CPG,Collaborative Health Research Projects - NSERC Partnered,Biological Finger Joint Replacement," $299,503 ", $-   , $-   ,,3 yrs 0 mth ,Musculoskeletal Health and Arthritis,"ARTHRITIS/OSTEOARTHRITIS; MUSCLE, BONE, OR JOINT",4/1/2018,2021-03-31,0,"biological, finger joint, replacement",,
"Kandel, Rita A; Toyserkani, Ehsan",Sinai Health System (Toronto),Ontario,Project Grant,201803PJT,Biomedical Engineering,Bioengineering a finger joint replacement," $688,501 ", $-   , $-   ,,4 yrs 0 mth ,Musculoskeletal Health and Arthritis,"Musculoskeletal Health-Bone, Skin and Cartilage Sciences; Aging-Aging Process and Biological Determinants of Aging",10/1/2018,2022-09-30,0,"Bioengineering, finger joint, replacement",,
"Kao, Kenneth R",Memorial University of Newfoundland,Newfoundland and Labrador,Operating Grant - PA: Regional Partnership Program - Newfoundland and Labrador,201303RNL,Cancer Progression & Therapeutics 2,Analysis of human Pygopus 2 as an essential androgen-responsive cellular biomarker for prostate cancer progression," $153,012 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,PROSTATE AND BLADDER CANCER; PROSTATE AND BLADDER CANCER THERAPY; CANCER; CELL BIOLOGY,4/1/2014,2017-03-31,0,"Pygopus 2, androgen-responsive, prostate cancer",,
"Karsan, Aly",University of British Columbia,British Columbia,Project Grant,202203PJT,Cancer Progression & Therapeutics 2,Clonal interactions in myeloid malignancy," $1,025,100 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,"Cancer-Cancer Progression and Metastasis; Molecular, Cellular and Systems Biology-Systems Biology",10/1/2022,2027-09-30,0,"clonal interactions, myeloid malignancy",,
"Karsan, Aly; Marra, Marco A",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,Development of an automated end-to-end next generation sequencing assay to detect all classes of genetic variant in a single diagnostic test," $453,152 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,"NEOPLASMS; HEALTH CARE DELIVERY; CANCER; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",4/1/2016,2019-03-31,0,"automated, sequencing, genetic variant",,
"Kassouf, Wassim",Research Institute of the McGill University Health Centre,Quebec,Operating Grant,201109MOP,Cancer Progression & Therapeutics,Integration of mTOR-p53 pathway crosstalk and miR-34 family in prognostication and prediction of response to bladder cancer therapy," $549,872 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,PROSTATE AND BLADDER CANCER THERAPY; PROSTATE AND BLADDER CANCER; CANCER,4/1/2012,2016-03-31,0,"mTOR, p53, miR-34",,
"Kassouf, Wassim",Research Institute of the McGill University Health Centre,Quebec,Project Grant,201909PJT,Cancer Biology & Therapeutics,Implication of neutrophil extracellular traps in the efficacy of bladder-sparing therapy in muscle invasive bladder cancer," $902,700 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,4/1/2020,2025-03-31,0,"neutrophil extracellular traps, bladder-sparing, bladder cancer",,
"Katyal, Sachin",University of Manitoba,Manitoba,Operating Grant,201403MOP,Cancer Biology & Therapeutics,ATM and TDP1 coordinate neurodevelopment and modulate Top1-mediated anti-cancer therapeutic outcome," $817,320 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; MULTIPLE DISEASE RELEVANCE; CANCER; GENETICS,7/1/2014,2019-06-30,0,"ATM, TDP1, Top1",,
"Kaufmann, Daniel E; Finzi, Andr�s",Centre hospitalier de l'Universit� de Montr�al (CHUM),Quebec,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Diagnostics,202005VR2,COVID-19 Rapid Research - Diagnostics,Early immune predictors of sustained SARS-CoV-2 antibody responses after COVID-19 disease, $-   , $-   , $-   ,,1 yr 0 mth ,Infection and Immunity,INFECTIOUS AND PARASITIC; VIROLOGY; IMMUNOLOGY-TRANSPLANTATION,9/1/2020,2021-08-31,0,"immune, SARS-CoV-2, antibody",,
"Kaushic, Charu",McMaster University,Ontario,Catalyst Grant: Innovation in HIV Vaccine and HIV Cure Research,201211CHR,HIV Vaccine and Cure Research,A humanized mouse model for understanding HIV-1 mucosal pathogenesis," $100,000 ", $-   , $-   ,,1 yr 0 mth ,Infection and Immunity,VIRAL; GENITO/URINARY SYSTEM; VIROLOGY; IMMUNOLOGY-TRANSPLANTATION,3/1/2013,2014-02-28,0,"humanized mouse, HIV-1, mucosal",,
"Kelley, Shana O",University of Toronto,Ontario,Operating Grant,201109MOP,Cancer Progression & Therapeutics,Mitochondrial delivery of DNA-alkylating anticancer agents," $514,560 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; LEUKAEMIAS; CANCER; GENETICS,4/1/2012,2016-03-31,0,"Mitochondrial, DNA-alkylating, anticancer",,
"Kelley, Shana O; Zandstra, Peter W; Sargent, Edward H",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201711CPG,Collaborative Health Research Projects - NSERC Partnered,Development of integrated bioanalyte sensors for process monitoring in closed system bioreactors," $419,100 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,0,4/1/2018,2021-03-31,0,"bioanalyte, sensors, bioreactors",,
"Kelvin, David J",University Health Network (Toronto),Ontario,Vaccines of the 21st Century,200903CVC,Catalyst Grant: Vaccines of the 21st Century,Identification and Characterization of Adjuvant Controlled Correlates of Immune Protection," $99,250 ", $-   , $-   ,,1 yr 0 mth ,Infection and Immunity,PNEUMONIA; AGING; IMMUNOLOGY-TRANSPLANTATION,10/1/2009,2010-09-30,0,"Adjuvant, Immune, Correlates",,
"Kennedy, Timothy E; Lennox, Robert B",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,Bio-integrated fully implantable peripheral nerve electrode for functional upper limb prostheses," $247,080 ", $-   , $-   ,,3 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",CNS ORGANIC; NERVOUS SYSTEM,4/1/2016,2019-03-31,0,"bio-integrated, nerve electrode, prostheses",,
"Kerbel, Robert S","Sunnybrook Research Institute (Toronto, Ontario)",Ontario,Operating Grant,201109MOP,Cancer Progression & Therapeutics 2,Translational studies of acquired resistance to antiangiogenic therapies undertaken in new preclinical models of locally advanced or metastatic cancer," $781,655 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; NEOPLASMS,4/1/2012,2017-03-31,0,"antiangiogenic, resistance, cancer",,
"Kerbel, Robert S","Sunnybrook Research Institute (Toronto, Ontario)",Ontario,Project Grant,201909PJT,Cancer Progression & Therapeutics,Low Dose Metronomic Chemotherapy as a Combination Strategy to Combat Innate or Acquired Resistance to Immune Checkpoint Therapy," $581,400 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,4/1/2020,2024-03-31,0,"Metronomic Chemotherapy, Resistance, Immune Checkpoint",,
"Khan, Omar F",University of Toronto,Ontario,Project Grant - PA: Infection and Immunity (Early Career Research Support),202203PTT,Biomedical Engineering 2,Making donated lungs infected with cytomegalovirus safer: nanoparticle-mediated deletion of essential viral genes prior to transplant using ex vivo lung perfusion," $300,000 ", $-   , $-   ,,3 yrs 0 mth ,Infection and Immunity,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics",10/1/2022,2025-09-30,0,"cytomegalovirus, nanoparticle, lung perfusion",,
"Khokha, Rama",University Health Network (Toronto),Ontario,Operating Grant,201209MOP,Cancer Progression & Therapeutics,Molecular dissection of TIMP3-dependent hepatocellular carcinoma," $623,520 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; LIVER DISEASE; CANCER,4/1/2013,2018-03-31,0,"TIMP3, hepatocellular carcinoma, molecular",,
"Khokha, Rama",University Health Network (Toronto),Ontario,Operating Grant,201503MOP,Cancer Progression & Therapeutics 2,Discovery of Novel Therapeutic Targets in Osteosarcoma," $802,985 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,BONE CANCER THERAPY; CANCER; MOLECULAR BIOLOGY,7/1/2015,2017-06-30,0,"Osteosarcoma, Therapeutic targets",,
"Kim, Keekyoung",University of Calgary,Alberta,Project Grant,202203PJT,Biomedical Engineering,Computational modeling of anatomy guided 3D vasculature network for organ bioprinting and regeneration," $114,750 ", $-   , $-   ,,1 yr 0 mth ,Circulatory and Respiratory Health,Biomedical Engineering-Regenerative Medicine and Tissue Engineering; Methods Development and Modelling-Computational Biology,10/1/2022,2023-09-30,0,"computational modeling, vasculature, bioprinting",,
"Kim, Paul Y; Yeh, Calvin H",McMaster University,Ontario,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Diagnostics,202005VR2,COVID-19 Rapid Research - Diagnostics,COVID-19: Comprehensive biomarker analysis for prediction of clinical course and patient treatment outcomes (COVID-BEACONS)," $1,173,325 ", $-   , $-   ,,1 yr 0 mth ,Circulatory and Respiratory Health,CLOTTING DEFECTS/THROMBOSIS; BLOOD; BIOCHEMISTRY,6/1/2020,2021-05-31,0,"COVID-19, biomarker, prediction",,
"Kim, Tae-Hee",Hospital for Sick Children (Toronto),Ontario,Project Grant,202003PJT,Cancer Progression & Therapeutics,Epigenetic mechanisms of gastric cancer associated with ARID1A mutations and H. pylori," $918,000 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Progression and Metastasis,10/1/2020,2025-09-30,0,"epigenetic, gastric cancer, ARID1A",,
"King, Graham John W",Western University (Ontario),Ontario,Operating Grant,201003MOP,Biomedical Engineering,Hemi-Arthroplasty of the Elbow: The Effect of Implant Surface Design and Materials on Joint Kinematics and Contact Mechanics," $307,002 ", $-   , $-   ,,4 yrs 0 mth ,Musculoskeletal Health and Arthritis,"MUSCULO SKELETAL; ARTHRITIS/OSTEOARTHRITIS; MUSCLE, BONE, OR JOINT",10/1/2010,2014-09-30,0,"Hemi-Arthroplasty, Implant Surface, Contact Mechanics",,
"King, Graham John W",Western University (Ontario),Ontario,Operating Grant,201503MOP,Biomedical Engineering,The Biomechanical Assessment and Optimization of Minimally Invasive Implants for the Elbow and Shoulder," $242,575 ", $-   , $-   ,,4 yrs 0 mth ,Musculoskeletal Health and Arthritis,MUSCULO SKELETAL; ARTHRITIS/OSTEOARTHRITIS,7/1/2015,2019-06-30,0,"Biomechanical, Implants, Elbow",,
"Kinsella, Joseph",McGill University,Quebec,Project Grant,202309PJT,Biomedical Engineering 2,Tissue-engineered humanized model of the gastric tumor microenvironment to mechanistically evaluate the dynamics of combined tumor-infiltrating lymphocyte and RNA nanoparticle therapy," $1,051,875 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Biomedical Engineering-Regenerative Medicine and Tissue Engineering; Cancer-Cancer Drug Development and Therapeutics",4/1/2024,2029-03-31,0,"tissue-engineering, gastric tumor, RNA nanoparticle",,
"Kirby, Miranda A; Santyr, Giles E",Toronto Metropolitan University,Ontario,Project Grant,202209PJT,Medical Physics & Imaging,Development of Magnetic Resonance Imaging Airway Segmentation to Assess and Monitor Cystic Fibrosis Lung Disease," $699,975 ", $-   , $-   ,,5 yrs 0 mth ,Circulatory and Respiratory Health,"Methods Development and Modelling-Quantitative Methods Development for Health Research; Cardiovascular, Respiratory and Circulatory Systems-Respiratory Sciences",4/1/2023,2028-03-31,0,"Magnetic Resonance Imaging, Airway Segmentation, Cystic Fibrosis",,
"Kislinger, Thomas",University Health Network (Toronto),Ontario,Operating Grant,201309MOP,Cancer Progression & Therapeutics,A Novel Biomarker Discovery Strategy Combining Primary Tumour Xenograft Models and Glyco-Capture of Secreted Proteins," $351,553 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,"CANCER; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",4/1/2014,2017-03-31,0,"Biomarker, Xenograft, Glyco-Capture",,
"Kislinger, Thomas",University Health Network (Toronto),Ontario,Project Grant,202003PJT,Cancer Progression & Therapeutics 2,The Ovarian Cancer Glycoproteome: Biomarker Discovery and Therapeutic Targets," $504,901 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,10/1/2020,2024-09-30,0,"Ovarian cancer, Glycoproteome, Biomarkers",,
"Kizhakkedathu, Jayachandran N",University of British Columbia,British Columbia,Operating Grant,200903MOP,Biomedical Engineering,Modular Design of Macromolecular Iron Chelator Structures for Chelation Therapy: Towards Effective Prevention of Primary and Transfusional Iron Overload," $385,110 ", $-   , $-   ,,3 yrs 0 mth ,Circulatory and Respiratory Health,BLOOD,10/1/2009,2012-09-30,0,"Macromolecular, Iron, Chelator",,
"Kizhakkedathu, Jayachandran N",University of British Columbia,British Columbia,Operating Grant,201303MOP,Biomedical Engineering,Polymer-based Bioengineering Approaches for Systemic Iron Removal," $610,078 ", $-   , $-   ,,5 yrs 0 mth ,Circulatory and Respiratory Health,ANAEMIAS; BLOOD; NOT CLASSIFIED,10/1/2013,2018-09-30,0,"Polymer, Bioengineering, Iron",,
"Kizhakkedathu, Jayachandran N; Hancock, Robert Ernest W; Lange, Dirk",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,Universal Antibiofilm Coating Solutions for Ureteral Stents," $393,404 ", $-   , $-   ,,3 yrs 0 mth ,Infection and Immunity,"INFECTIOUS AND PARASITIC; GENITO/URINARY SYSTEM; RENAL FUNCTION, NEPHROLOGY, UROLOGY; BACTERIOLOGY",4/1/2016,2019-03-31,0,"Antibiofilm, Coating, Ureteral Stents",,
"Kizhakkedathu, Jayachandran N; Withers, Stephen G",University of British Columbia,British Columbia,Project Grant,202403PJT,Biomedical Engineering 2,Transfusion Without Blood Typing: Enzymatic Glycoengineering Towards 'True' Universal Blood," $1,013,626 ", $-   , $-   ,,5 yrs 0 mth ,Circulatory and Respiratory Health,"Biomedical Engineering-Regenerative Medicine and Tissue Engineering; Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics",10/1/2024,2029-09-30,0,"transfusion, blood typing, glycoengineering",,
"Klein Geltink, Ramon",University of British Columbia,British Columbia,Project Grant,202303PJT,Cancer Biology & Therapeutics,Glucose restriction-mediated changes to mitochondria as a driver of anti-tumour CD8+ T cell function.," $983,026 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,10/1/2023,2028-09-30,0,"glucose restriction, mitochondria, CD8+ T cells",,
"Klein, Doug; Campbell-Scherer, Denise L; Heyland, Daren K",University of Alberta,Alberta,Catalyst Grant: eHealth Innovations - Aging,201310CEA,e-Health Innovation Partnership Program (eHIPP),Promoting Health of Older Adults through CHANGE technology," $92,112 ", $-   , $-   ,,1 yr 0 mth ,Aging,HEALTH CARE DELIVERY; AGING; METABOLISM/DIABETES,3/1/2014,2015-02-28,0,"Older adults, CHANGE, health",,
"Koch, Anne",University Health Network (Toronto),Ontario,Operating Grant,200909MOP,Cancer Biology & Therapeutics,"Role of APLF in DNA damage signaling, DNA repair and in the maintenance of genome stability"," $325,560 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,BREAST CANCER; BREAST CANCER THERAPY; MOLECULAR BIOLOGY; CANCER,4/1/2010,2013-03-31,0,"APLF,DNA repair,genome stability",,
"Koch, Anne",University Health Network (Toronto),Ontario,Operating Grant - PA: Cancer Research (bridge funding),200809IC1,Cancer Biology & Therapeutics,Characterization of APLF (C2orf13) in DNA double-strand break repair and in the maintenance of genome stability," $100,000 ", $-   , $-   ,,1 yr 0 mth ,Cancer Research,BREAST CANCER; BREAST CANCER THERAPY; MOLECULAR BIOLOGY; CANCER,1/1/2009,2009-12-31,0,"DNA repair, genome stability, APLF",,
"Kohandel, Mohammad; Goldman, Aaron",University of Waterloo (Ontario),Ontario,Project Grant,201803PJT,Cancer Progression & Therapeutics,"Theoretical, experimental, and preclinical studies of heterogeneity-driven adaptive resistance to chemotherapy: Implications for multimodal targeted therapeutics"," $734,400 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,10/1/2018,2021-09-30,0,"adaptive resistance, heterogeneity, targeted therapeutics",,
"Kollmann, Tobias R",University of British Columbia,British Columbia,Vaccines of the 21st Century,200903CVC,Catalyst Grant: Vaccines of the 21st Century,Vaccines for Asthma and Allergies - an Immune-Prophylactic and -Therapeutic Approach," $100,000 ", $-   , $-   ,,1 yr 0 mth ,Infection and Immunity,ASTHMA; IMMUNOLOGY-TRANSPLANTATION; HEALTH RESEARCH,10/1/2009,2010-09-30,0,"Vaccines, Asthma, Allergies",,
"Kopp, Janel",University of British Columbia,British Columbia,Operating Grant,201503MOP,Cancer Progression & Therapeutics,Using genetically engineered mouse models to define variables producing pancreatic ductal adenocarcinoma heterogeneity," $644,632 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,GASTRO-INTESTINAL CANCER; GASTRO-INTESTINAL DISEASE; CANCER; CELL BIOLOGY,7/1/2015,2021-06-30,0,"genetically engineered, mouse models, pancreatic ductal adenocarcinoma",,
"Kopp, Janel",University of British Columbia,British Columbia,Project Grant,201809PJT,Cancer Biology & Therapeutics,Role of inflammation during the genesis of intraductal papillary mucinous neoplasia associated pancreatic ductal adenocarcinoma," $1,090,125 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Progression and Metastasis,4/1/2019,2024-03-31,0,"inflammation, intraductal papillary mucinous neoplasia, pancreatic ductal adenocarcinoma",,
"Koritzinsky, Marianne",University Health Network (Toronto),Ontario,Project Grant,202109PJT,Cancer Biology & Therapeutics,Redox homeostasis in pancreatic cancer - molecular mechanisms and combined modalities," $860,625 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,"Cancer-Cancer Drug Development and Therapeutics; Molecular, Cellular and Systems Biology-Cell Biology and Physiology",4/1/2022,2027-03-31,0,"Redox, pancreatic cancer, homeostasis",,
