Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months
"Lam, Stephen",University of British Columbia,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,CTAP III for detection of early lung cancer and monitoring treatment outcome,"$160,000",$0,1 yr 0 mth 
"Legault, Pascale",Université de Montréal,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,The ARiBo technology for isolation of ribonucleoprotein complexes,"$145,412","$13,349",1 yr 0 mth 
"Lerouge, Sophie; Lapointe, Réjean",École de technologie supérieure (Montréal),Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Injectable thermosensitive hydrogel as delivery vehicle of lymphocytes for cancer immunotherapy,"$141,000",$0,1 yr 0 mth 
"Lerouge, Sophie",École de technologie supérieure (Montréal),Proof of Principle Program - Phase I,201003PPP,Proof of Principle,A new therapeutic agent for the treatment and prevention of endoleaks after endovascular aneurysm repair,"$155,000",$0,1 yr 0 mth 
"Li, Shyh-Dar","Ontario Institute for Cancer Research (Toronto, Ontario)",Proof of Principle Program - Phase I,201202PPP,Proof of Principle,"Benchmark Cellax, a proprietary nanoparticle formulation for docetaxel, against Taxotere to treat metastatic castration resistant prostate cancer","$160,000",$0,1 yr 0 mth 
"Li, Shyh-Dar","Ontario Institute for Cancer Research (Toronto, Ontario)",Proof of Principle Program - Phase I,201302PPP,Proof of Principle,Heat-triggered Chemotherapy to Treat Refractory Breast Cancer at the Chest Wall,"$160,000",$0,1 yr 0 mth 
"Liu, Fang",Centre for Addiction and Mental Health (Toronto),Proof of Principle Program - Phase II,201509PP2,Proof of Principle,Development and commercialisation of a novel treatment for multiple sclerosis,"$299,101",$0,1 yr 0 mth 
"Liu, Fang",Centre for Addiction and Mental Health (Toronto),Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Development of peptide therapeutics via nasal delivery for major depression disorder,"$150,000",$0,1 yr 0 mth 
"Liu, Fang",Centre for Addiction and Mental Health (Toronto),Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Therapeutics targeting receptor-receptor interactions for Addiction,"$150,000",$0,1 yr 0 mth 
"Liu, Fei-Fei",University Health Network (Toronto),Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Targeting UROD As A Novel Anti-Cancer Therapeutic Strategy,"$150,000",$0,1 yr 0 mth 
"Logsetty, Sarvesh; Liu, Song",University of Manitoba,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,The effects of a novel hydrogel coating on commercial antimicrobial dressings.,"$157,633",$0,1 yr 0 mth 
"Macaulay, Calum E; Lam, Stephen",University of British Columbia,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,Optically-Guided Biopsy for Improved Diagnosis of Peripheral Pulmonary Nodules,"$146,470",$0,1 yr 0 mth 
"Macaulay, Calum E",University of British Columbia,"Proof of Principle - PA: Cancer Early Detection, Imaging/Trans Therapeutics",200904PCA,Proof of Principle,A platform enabling personalized medicine through the detection of cells with specific genetic characterization,"$149,825",$0,1 yr 0 mth 
"Ma, Hongshen",University of British Columbia,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,Pre-commercial Development of Microfluidic Technology for Deformability based Separation of Circulating Tumor Cells,"$160,000",$0,1 yr 0 mth 
"Mahony, James B",McMaster University,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Evaluation of a Novel Chlamydia Vaccine Based on Type III Secretion Proteins,"$159,000",$0,1 yr 0 mth 
"Mahuran, Don J",Hospital for Sick Children (Toronto),Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Treating Parkinson's Disease with Drugs that Increase Lysosomal B-Glucocerebrosidase Activity,"$157,606",$0,1 yr 0 mth 
"Malouin, François",Université de Sherbrooke,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Riboswitch ligand inhibitors for MRSA and staphylococci / Ligands de riborégulateurs agissant comme antibiotiques contre le SARM et les staphylocoques,"$157,350",$0,1 yr 0 mth 
"Martineau, Paul A",Research Institute of the McGill University Health Centre,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,POROUS COMPRESSION SCREW for FRACTURE FIXATION,"$155,375",$0,1 yr 0 mth 
"Martin, Ruth E",Western University (Ontario),Proof of Principle Program - Phase II,200904PP2,Proof of Principle,"Swallowing Air-Pulse Therapy (SWAPT): Design Specification, Testing, Regulatory Approval, and Pre-launch Market Analysis","$250,000",$0,1 yr 0 mth 
"Mcalpine, Jessica N",University of British Columbia,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,PROMISE: A Proactive Molecular-Based Classification Tool to Improve Endometrial Cancer Management,"$160,000",$0,1 yr 0 mth 
"McNagny, Kelly M",University of British Columbia,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,CD34 as a therapeutic target for allergic asthma,"$160,000",$0,1 yr 0 mth 
"Meek, Robert N",University of British Columbia,Proof of Principle Program - Phase II,201302PP2,Proof of Principle,Minimally Invasive Curved Intramedullary Fixation (MICIF) for pelvic bone fractures,"$300,000",$0,1 yr 0 mth 
"Meloche, Sylvain",Université de Montréal,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Targeting the degradation of the cyclin-dependent kinase inhibitor p21 as a novel approach to cancer therapy,"$160,000",$0,1 yr 0 mth 
"Mes-Masson, Anne-Marie",Centre hospitalier de l'Université de Montréal (CHUM),Proof of Principle Program - Phase I,201003PPP,Proof of Principle,Development and validation of a multiplex blood-based assay for the early detection of ovarian cancer.,"$160,000",$0,1 yr 0 mth 
"Mishra, Ram K",McMaster University,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,A novel dopamine D2 receptor allosteric modulator: Development and commercialization of a safer more effective generation of antipsychotic drugs,"$146,850",$0,1 yr 0 mth 
"Moreau, Alain","Centre hospitalier universitaire Sainte-Justine (Montréal, Québec)",Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Preclinical Validation of a Disease-Modifying Osteoarthritis Drug,"$160,000",$0,1 yr 0 mth 
"Moreau, Alain","Centre hospitalier universitaire Sainte-Justine (Montréal, Québec)",Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Methods of Diagnosing Primary Osteoarthritis,"$160,000",$0,1 yr 0 mth 
"Moreau, Alain","Centre hospitalier universitaire Sainte-Justine (Montréal, Québec)",Proof of Principle Program - Phase II,200904PP2,Proof of Principle,Methods of Diagnosing Idiopathic Scoliosis and related Spinal Disorders,"$250,000",$0,1 yr 0 mth 
"Nanthakumar, Kumaraswamy",University Health Network (Toronto),Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Novel Mapping Methodology for Identifying Arrhythmia Circuit.,"$158,375",$0,1 yr 0 mth 
"Nazhat, Showan N",McGill University,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Injectable dense collagen-silk fibroin derived polypeptide hydrogels for bone regenerative therapy,"$156,393",$0,1 yr 0 mth 
"Ndao, Momar",Research Institute of the McGill University Health Centre,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Bridging the Gap Between Mass Spectrometric Profiling and Practical Diagnostic Tests for Commercialization: Case of Chagas Disease,"$150,000",$0,1 yr 0 mth 
"Nepveu, Alain",McGill University,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Validation of the CUX1 Expression Signature as an RT-PCR-Based Prognostic Tool,"$159,950",$0,1 yr 0 mth 
"Ostrowski, Mario A",University of Toronto,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Bioreactor-based large scale production of a Tim-3 pathway inhibitor as a novel immunotherapy against HIV-1 and other chronic viral infections,"$150,000",$0,1 yr 0 mth 
"Park, Morag",McGill University,Proof of Principle Program - Phase II,200904PP2,Proof of Principle,Generation of a gene expression-based breast cancer prognostic device,"$73,500",$0,1 yr 0 mth 
"Pelletier, Jerry M",McGill University,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,Chemotherapeutic Agents for Inhibiting Protein Synthesis,"$160,000",$0,1 yr 0 mth 
"Petkovich, Martin","Queen's University (Kingston, Ontario)",Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Blocking RA Metabolism: A safer approach to retinoid therapy in skin disease,"$135,557",$0,1 yr 0 mth 
"Petrecca, Kevin",McGill University,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Identification of Novel Compounds Inhibiting Brain Cancer Invasion,"$120,775",$0,1 yr 0 mth 
"Philip, Anie",Research Institute of the McGill University Health Centre,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Identification of a low molecular weight peptide of CD109 as an anti-scarring agent,"$150,000",$0,1 yr 0 mth 
"Pinto, Mario","Simon Fraser University (Burnaby, B.C.)",Proof of Principle Program - Phase I,200810PPP,Proof of Principle,An Enzyme Inhibitor for Treating Type-2 Diabetes,"$150,000",$0,1 yr 0 mth 
"Poirier, Donald",Université Laval,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Optimisation du potentiel thérapeutique de dérivés aminostéroïdes contre le cancer de l'ovaire,"$157,700","$2,300",1 yr 0 mth 
"Poirier, Donald",Université Laval,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,Évaluation du potentiel thérapeutique in vivo d'un nouvel inhibiteur de la 17beta-HSD3 à bloquer la croissance de tumeurs xénogreffées du cancer de la prostate,"$157,880",$0,1 yr 0 mth 
"Poirier, Donald",Université Laval,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Évaluation du potentiel thérapeutique in vivo d'un nouvel inhibiteur de la stéroïde sulfatase combinant des propriétés ostéogénique et antiestrogénique pour le traitement des cancers du sein et de la prostate,"$159,756",$0,1 yr 0 mth 
"Poirier, Donald",Université Laval,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,L'évaluation du potentiel thérapeutique in vivo d'une nouvelle famille d'aminostéroides comme agents anticancéreux sélectifs,"$149,703",$0,1 yr 0 mth 
"Powell, William S",McGill University,Proof of Principle Program - Phase II,201309PP2,Proof of Principle,Development of novel OXE receptor antagonists for asthma,"$293,133",$0,1 yr 0 mth 
"Powell, William S",McGill University,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,Development of novel OXE receptor antagonists for asthma,"$146,000",$0,1 yr 0 mth 
"Pratt, Christine M",University of Ottawa,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,A-CD estrogens as alternatives to Estrogen-based hormone replacement therapy,"$156,060",$0,1 yr 0 mth 
"Prentki, Marc",Centre hospitalier de l'Université de Montréal (CHUM),Proof of Principle Program - Phase I,201102PPP,Proof of Principle,Validation of a glycerolipid/ free fatty acid cycling enzyme as a novel therapeutic target for type-2 diabetes,"$157,925",$0,1 yr 0 mth 
"Putnins, Edward E",University of British Columbia,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Development of Novel Polar MAO B Inhibitors for the Treatment of Epithelial Barrier Diseases,"$160,000",$0,1 yr 0 mth 
"Rak, Janusz",Research Institute of the McGill University Health Centre,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Monitoring progression of malignant tumors by detection of blood-borne oncogenic epidermal growth factor receptor circulating as cargo of tumor-derived microvesicles,"$150,000",$0,1 yr 0 mth 
"Reiner, Neil E",University of British Columbia,Proof of Principle Program - Phase II,200810PP2,Proof of Principle,INDEL therapeutics for the treatment of infectious disease.,"$250,000",$0,1 yr 0 mth 
"Rennie, Paul S",University of British Columbia,"Proof of Principle - PA: Cancer Early Detection, Imaging/Trans Therapeutics",200904PCA,Proof of Principle,Androgen receptor inhibitors,"$150,000",$0,1 yr 0 mth 
"Reynolds, Steven C","Fraser Health Authority (Surrey, BC)",Proof of Principle Program - Phase II,201409PP2,Proof of Principle,"Development of a novel, temporary, transcutaneously placed, transvenous phrenic nerve pacer for diaphragm activation in critically ill patients","$268,499","$2,000",1 yr 0 mth 
"Reynolds, Steven C","Fraser Health Authority (Surrey, BC)",Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Phase 1 Trial of a novel transvenous phrenic nerve pacer for diaphragm activation in mechanically ventilated critically ill patients.,"$158,464","$1,536",1 yr 0 mth 
"Richter, Martin",Université de Sherbrooke,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Matriptase Inhibitors as a Novel Class of Influenza Antivirals,"$143,827",$0,1 yr 0 mth 
"Riddell, Michael C; Vranic, Mladen","York University (Toronto, Ontario)",Proof of Principle Program Phase I - Drug Development,201102PDD,Proof of Principle,Pharmaceutical intervention to decrease the threat of hypoglycemia in insulin-treated diabetics,"$160,000",$0,1 yr 0 mth 
"Roberge, Michel",University of British Columbia,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Preclinical evaluation of a gentamicin analog as a treatment for genetic diseases and cancer due to a premature termination codon.,"$150,059",$0,1 yr 0 mth 
"Roberge, Michel",University of British Columbia,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Preclinical Development of a novel M2 Channel Inhibitor for the Treatment and Prevention of Influenza,"$160,000",$0,1 yr 0 mth 
"Roberge, Michel",University of British Columbia,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Evaluation of the anticancer activity of a new autophagy-inhibitory drug,"$142,989",$0,1 yr 0 mth 
"Rogers, Ian M",Sinai Health System (Toronto),Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Cell therapy for the treatment of type 1 Diabetes,"$150,000",$0,1 yr 0 mth 
"Rogers, Ian M",Sinai Health System (Toronto),Proof of Principle Program - Phase I,201009PPP,Proof of Principle,The Use of Multipotential Stem Cells for the Treatment of Peripheral Vascular Disease,"$160,000",$0,1 yr 0 mth 
"Rosenberg, Lawrence",McGill University,Proof of Principle Program - Phase II,201209PP2,Proof of Principle,A Novel Regenerative Drug Therapy to Restore Natural Insulin Secretion in Diabetes Mellitus,"$122,670",$0,1 yr 0 mth 
"Ross, Ruth A",University of Toronto,Proof of Principle Program - Phase II,201409PP2,Proof of Principle,Development and Commercialisation of Allosteric Modulators for the Treatment of Pain,"$189,920",$0,1 yr 0 mth 
"Ross, Ruth A",University of Toronto,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Development and therapeutic validation of GPR55 modulators for the treatment of osteoclast-mediated disorders,"$155,600",$0,1 yr 0 mth 
"Ross, Ruth A",University of Toronto,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Development and Testing of Small Molecule Allosteric Modulators for the Treatment of Pain.,"$157,999",$0,1 yr 0 mth 
"Sadar, Marianne D; Andersen, Raymond J",University of British Columbia,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Preclinical evaluation of sintokamides as agents for treatment of advanced prostate cancer,"$150,000",$0,1 yr 0 mth 
"Sadar, Marianne D",University of British Columbia,Proof of Principle Program - Phase II,201102PP2,Proof of Principle,Translational Development Program For Analogues of EPI-001 (PNG01-185) Compounds For the Treatment of Advanced Prostate Cancer,"$300,000",$0,1 yr 0 mth 
"Salcudean, Septimiu E",University of British Columbia,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Real-time Ultrasound Quantitative Elastography of the Prostate,"$143,074","$10,850",1 yr 0 mth 
"Sanche, Léon",Université de Sherbrooke,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,Développement de composés antinéoplasiques radiosensibilisants acheminés par nano transporteur liposomal.,"$159,149",$0,1 yr 0 mth 
"Santamaria, Pere",University of Calgary,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Evaluation of Nanoparticles for the Treatment of Autoimmune Conditions,"$150,000",$0,1 yr 0 mth 
"Saragovi, Horacio U",CIUSSS de Centre-Ouest-de-l'Ile-de-Montréal-Jewish General,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,Cancer vaccines targeting the ganglioside tumor-marker GD2,"$157,600",$0,1 yr 0 mth 
"Saragovi, Horacio U",CIUSSS de Centre-Ouest-de-l'Ile-de-Montréal-Jewish General,Proof of Principle Program - Phase II,200910PP2,Proof of Principle,Neuroprotection Rescue Strategies for Retinal Degeneration Diseases,"$250,000",$0,1 yr 0 mth 
"Saragovi, Horacio U",CIUSSS de Centre-Ouest-de-l'Ile-de-Montréal-Jewish General,Proof of Principle Program - Phase II,201509PP2,Proof of Principle,Therapy for motor neuron degeneration diseases targeting the opposing ligand-dependent signals of two TrkC receptor isoforms,"$300,000",$0,1 yr 0 mth 
"Schang, Luis M",University of Alberta,Proof of Principle Program Phase I - Drug Development,200904PDD,Proof of Principle,Novel Inhibitors of Viral Infectivity,"$150,000",$0,1 yr 0 mth 
"Schimmer, Aaron D",University Health Network (Toronto),Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Repositioning tigecycline for the treatment of leukemia,"$156,750",$0,1 yr 0 mth 
"Schrader, John W",University of British Columbia,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Preclinical evaluation of a truly human monoclonal antibody for the therapy of infections with a broad spectrum of influenza viruses,"$160,000",$0,1 yr 0 mth 
"Schweizer, Frank",University of Manitoba,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Optimization and preclinical studies on amphiphilic aminoglycoside antimicrobials (AAAs),"$160,000",$0,1 yr 0 mth 
"Schweizer, Frank; Zhanel, George G",University of Manitoba,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Preclinical evaluation of antimicrobial ultrashort aminoglycoside- peptide conjugates,"$150,000",$0,1 yr 0 mth 
"Seidah, Nabil G",Institut de recherches cliniques de Montréal,Proof of Principle Program - Phase II,201209PP2,Proof of Principle,Validation of PCSK9 single domain antibodies in cholesterol regulation in humanized mice,"$186,128",$0,1 yr 0 mth 
"Shapiro, James",University of Alberta,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Preclinical Development of Novel Biomaterials for the Creation of a Deviceless Pre-Vascularized Site for Islet and Cellular Transplantation,"$157,126",$0,1 yr 0 mth 
"Sheppard, Donald C",Research Institute of the McGill University Health Centre,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,Recombinant hydrolases as anti-biofilm therapies for Aspergillus infections,"$151,459",$0,1 yr 0 mth 
"Sherar, Michael D",University Health Network (Toronto),Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Treatment Planning and Guidance Software Platform for Minimally Invasive Ablation Therapies,"$145,925","$10,000",1 yr 0 mth 
"Shoichet, Molly S; Fehlings, Michael G",University of Toronto,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,Commercial Development of Bioengineered Therapeutic Strategy for Spinal Cord Injury,"$159,996",$0,1 yr 0 mth 
"Sidhu, Sachdev S",University of Toronto,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,Highly specific therapeutic-grade anti-FGFR1 antibodies with anti-proliferative effects,"$160,000",$0,1 yr 0 mth 
"Sinton, David A",University of Toronto,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,High Quality Sperm Selection for Assisted Reproductive Technology,"$159,904",$0,1 yr 0 mth 
"Sipione, Simonetta",University of Alberta,Proof of Principle Program Phase I - Drug Development,201102PDD,Proof of Principle,Development of ganglioside-based therapies for Huntington's disease,"$159,196",$0,1 yr 0 mth 
"Slim, Rima",McGill University,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,NLRP7-based diagnosis of female reproduction wastage,"$160,000",$0,1 yr 0 mth 
"Snutch, Terrance P",University of British Columbia,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Identification of SLC26A11 blockers to prevent neuronal swelling and cell death,"$160,000",$0,1 yr 0 mth 
"Sonenberg, Nahum",McGill University,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Identification of novel compounds inhibiting viral infections,"$150,000",$0,1 yr 0 mth 
"Stagljar, Igor",University of Toronto,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,"Development of the Mammalian Membrane Two-Hybrid (MaMTH) technology, a novel protein interaction and drug discovery tool","$160,000",$0,1 yr 0 mth 
"Steinberg, Gregory R",McMaster University,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Development of a new therapy targeting adipose tissue metabolism for the treatment of obesity,"$160,000",$0,1 yr 0 mth 
"Stojdl, David F",Children's Hospital of Eastern Ontario Research Institute Inc,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,Chimeric Oncolytic Virus for Brain Cancer Treatment,"$160,000",$0,1 yr 0 mth 
"Tabrizian, Maryam",McGill University,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,A Novel Injectable Chitosan Sponge Containing BMP-7 as a Therapeutic Intervention for Accelerated Bone Formation in a Critical Size Defect Rat Model,"$160,000",$0,1 yr 0 mth 
"Tamimi, Faleh",McGill University,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Biocompatible inorganic nanogel system for medical applications,"$150,160",$0,1 yr 0 mth 
"Tessier, Philippe A",Université Laval,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,Development of anti-S100 proteins for the treatment of arthritis,"$142,600",$0,1 yr 0 mth 
"Tremblay, Jacques P",Université Laval,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,Alzheimer treatment based on the editing of the Amyloid Precursor Protein gene,"$159,931",$0,1 yr 0 mth 
"Tremblay, Jacques P",Université Laval,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Development of a treatment for Friedreich ataxia based on the administration of TALE proteins targeting the frataxin promoter.,"$160,000",$0,1 yr 0 mth 
"Tremblay, Michel L",McGill University,Proof of Principle Program Phase I - Drug Development,201003PDD,Proof of Principle,Discovery and uses of a new class of small molecule inhibitors of tyrosine phosphatases.,"$158,850",$0,1 yr 0 mth 
"Trifiro, Mark A; Paliouras, Miltiadis",CIUSSS de Centre-Ouest-de-l'Ile-de-Montréal-Jewish General,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Targeting novel BioNanofluids for prostate cancer therapy,"$148,240","$11,000",1 yr 0 mth 
"Tsantrizos, Youla S",McGill University,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Benchmark proprietary pyridine- and thienopyrimidine-based bisphosphonates against the standard of care drug Zometa® in the treatment of multiple myeloma,"$160,000",$0,1 yr 0 mth 
"Tsao, Ming-Sound",University Health Network (Toronto),Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Development of a monoclonal antibody for integrin alpha-11 to treat lung cancer,"$160,000",$0,1 yr 0 mth 
"Turvey, Stuart E",University of British Columbia,Proof of Principle Program Phase I - Drug Development,200904PDD,Proof of Principle,Development of a TLR5 antagonist as a novel anti-inflammatory therapy for cystic fibrosis,"$150,000",$0,1 yr 0 mth 
"Underhill, Michael",University of British Columbia,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Novel Applications of Potassium Channel Blockers in Arthritis,"$146,400",$0,1 yr 0 mth 
"Verma, Subodh S",Unity Health Toronto,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,Evaluation of BRCA1 as a Novel Therapeutic Strategy for Endothelial Dysfunction and Atherosclerosis,"$149,998",$0,1 yr 0 mth 
"Waldman, Stephen D","Queen's University (Kingston, Ontario)",Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Tissue engineered cartilage suitable for the repair of clinically-relevant sized defects,"$148,139",$0,1 yr 0 mth 
"Walti, Hervé",Université de Sherbrooke,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,Total liquid ventilation improves respiratory and neurological outcomes in newborn lambs with severe respiratory failure,"$159,252",$0,1 yr 0 mth 
"Wasan, Kishor M; Bartlett, Karen H; Thornton, Sheila J; Wasan, Ellen K",University of British Columbia,Proof of Principle Program - Phase II,200810PP2,Proof of Principle,Development of a Novel Oral Amphotericin B Formulation for the Treatment of Systemic Fungal Infections,"$200,000",$0,1 yr 0 mth 
"Weaver, Donald F; Fine, Alan; Gregson, Peter H",IWK Health Centre (Halifax),Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Contact Optical Microscopy,"$148,684",$0,1 yr 0 mth 
"Weaver, Donald F",IWK Health Centre (Halifax),Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Pharmacokinetic Optimization of a New Drug for Alzheimer's Disease,"$150,000",$0,1 yr 0 mth 
"Webb, John R",University of Victoria (British Columbia),Proof of Principle Program - Phase I,201003PPP,Proof of Principle,Pre-clinical development of Pentarix: a therapeutic vaccine for HPV-associated cancers,"$160,000",$0,1 yr 0 mth 
"Weinfeld, Michael",University of Alberta,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Small molecule inhibitor of polynucleotide kinase/phosphatase and uses thereof in cancer treatment.,"$150,000",$0,1 yr 0 mth 
"Weksberg, Rosanna",Hospital for Sick Children (Toronto),Proof of Principle Program - Phase I,201502PPP,Proof of Principle,Implementation and Commercialization of a Novel DNA Methylation-Based Diagnostic Tool,"$160,000",$0,1 yr 0 mth 
"Whyne, Cari M","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Proof of Principle Program - Phase I,201509PPP,Proof of Principle,"""Bone Tape"": Optimization of a novel method for reconstructing the craniomaxillofacial skeleton","$160,000",$0,1 yr 0 mth 
"Williams, Jason",Nova Scotia Health Authority (Halifax),Proof of Principle Program - Phase II,201309PP2,Proof of Principle,The Production of Decellularized Human Skin to Treat Chronic Diabetic Ulcers,"$145,760",$0,1 yr 0 mth 
"Wither, Joan E",University Health Network (Toronto),Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Development of a test for the early diagnosis and monitoring of lupus nephritis,"$160,000",$0,1 yr 0 mth 
"Withers, Stephen G",University of British Columbia,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Extending circulation time of protein therapeutics by capping glycan structures with 7F-Sialic acids,"$159,981",$0,1 yr 0 mth 
"Withers, Stephen G",University of British Columbia,Proof of Principle Program - Phase II,201202PP2,Proof of Principle,Novel Influenza Neuraminidase Inhibitors - Development of Orally Bioavailable Agents,"$297,000",$0,1 yr 0 mth 
"Withers, Stephen G",University of British Columbia,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Novel mechanism-based inhibitors of influenza neuraminidase as potential anti-viral agents,"$150,000",$0,1 yr 0 mth 
"Wu, Jian Hui",CIUSSS de Centre-Ouest-de-l'Ile-de-Montréal-Jewish General,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,Development of novel pan-inhibitors of the androgen receptor variants as effective therapeutics for castration-resistant prostate cancer,"$160,000",$0,1 yr 0 mth 
"Wu, Jian Hui",CIUSSS de Centre-Ouest-de-l'Ile-de-Montréal-Jewish General,Proof of Principle Program Phase I - Drug Development,201003PDD,Proof of Principle,Novel bifunctional antiandrogens that suppress oncogenic activation of the androgen receptor in castration-resistant prostate cancer,"$159,750",$0,1 yr 0 mth 
"Wu, Xiao Yu S",University of Toronto,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Preclinical evaluation of multifunctional polymer nanoparticles for targeted brain cancer therapy,"$160,000",$0,1 yr 0 mth 
"Yang, Victor X",Toronto Metropolitan University,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Doppler Optical Coherence Tomography for Intraoperative Imaging During Skull Base Neurosurgical Procedures,"$149,984",$0,1 yr 0 mth 
"Yang, Victor X",Toronto Metropolitan University,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,Integrated Surgical Lighting and Navigation System,"$156,230","$2,200",1 yr 0 mth 
"Yanow, Stephanie K",University of Alberta,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Long-term preservation of a whole parasite malaria vaccine for storage and delivery in the tropics,"$160,000",$0,1 yr 0 mth 
"Yanow, Stephanie K",University of Alberta,Proof of Principle Program - Phase II,201309PP2,Proof of Principle,A field-deployable malaria and fever diagnostic system,"$143,250",$0,1 yr 0 mth 
"Yoo, Paul",University of Toronto,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,Minimally-Invasive Method of Selectively Activating Posterior Tibial Nerve Afferents for Treating Overactive Bladder,"$155,800","$4,000",1 yr 0 mth 
"Young, Robert N","Simon Fraser University (Burnaby, B.C.)",Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Development of a novel conjugate drug for local delivery in bone grafts: Efficacy study on vascularization and osteogenesis after local delivery in a dental implant jaw model,"$157,500",$0,1 yr 0 mth 
