Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months,Primary_Institute,Research_Categories,Funding_Start,Funding_End,normalized_Project_Title
"Huntsman, David G",University of British Columbia,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,PrOTYPE: An Enabling Technology to Improve Ovarian Cancer Care,"$154,829",$0,1 yr 0 mth ,Cancer Research,"NEOPLASMS; NONE OF THE ABOVE; CANCER; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",2013-04-01,2014-03-31,protype an enabling technology to improve ovarian cancer care
"Mossman, Karen L",McMaster University,Project Grant,202104PJT,Commercialization,Clinical development of oncolytic BHV-1 for cancer therapy,"$504,900",$0,3 yrs 0 mth ,Cancer Research,Commercialization-Intellectual Property; Commercialization-Industry Research & Development; Cancer-Cancer Drug Development and Therapeutics,2021-10-01,2024-09-30,clinical development of oncolytic bhv1 for cancer therapy
"Walti, Herve",Universite de Sherbrooke,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,Total liquid ventilation improves respiratory and neurological outcomes in newborn lambs with severe respiratory failure,"$159,252",$0,1 yr 0 mth ,Circulatory and Respiratory Health,RESPIRATION; PERINATAL; NOT CLASSIFIED,2012-10-01,2013-09-30,total liquid ventilation improves respiratory and neurological outcomes in newborn lambs with severe respiratory failure
"Kouassi, Edouard",CIUSSS Est-de-l'Ile-de- Montreal-Maisonneuve Rosemont,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,Novel methods and compounds for increasing red blood cell survival,"$160,000",$0,1 yr 0 mth ,Circulatory and Respiratory Health,BLOOD; ANAEMIAS; DRUG RESEARCH,2010-10-01,2011-09-30,novel methods and compounds for increasing red blood cell survival
"Cashman, Neil R",University of British Columbia,Proof of Principle Program - Phase II,201209PP2,Proof of Principle,A defined cyclic peptide epitope specific to Abeta oligomers:   Active and passive vaccination in mouse models of Alzheimer's disease,"$300,000",$0,1 yr 0 mth ,Aging,ALZHEIMER'S DISEASE; AGING; NERVOUS SYSTEM,2013-04-01,2014-03-31,a defined cyclic peptide epitope specific to abeta oligomers active and passive vaccination in mouse models of alzheimers disease
"Garnis, Cathie",University of British Columbia,Project Grant,201809PJT,Commercialization,Blood based biomarker for the early detection of recurrent head and neck cancer,"$539,324",$0,4 yrs 0 mth ,Cancer Research,Cancer-Clinical Oncology,2019-04-01,2023-03-31,blood based biomarker for the early detection of recurrent head and neck cancer
"Mahony, James B",McMaster University,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Evaluation of a Novel Chlamydia Vaccine Based on Type III Secretion Proteins,"$159,000",$0,1 yr 0 mth ,Infection and Immunity,INFECTIOUS AND PARASITIC; INFERTILITY FEMALE; HEALTH RESEARCH; BACTERIOLOGY,2014-10-01,2015-09-30,evaluation of a novel chlamydia vaccine based on type iii secretion proteins
"Alman, Benjamin A",Hospital for Sick Children (Toronto),Proof of Principle Program - Phase I,201003PPP,Proof of Principle,Nefopam as an agent to prevent and treat hyperplastic scars,"$159,975",$0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"SKIN AND SUBCUTANEOUS TISSUS; MUSCULO SKELETAL; MUSCLE, BONE, OR JOINT; DRUG RESEARCH",2010-10-01,2011-09-30,nefopam as an agent to prevent and treat hyperplastic scars
"Waldman, Stephen D","Queen's University (Kingston, Ontario)",Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Tissue engineered cartilage suitable for the repair of clinically-relevant sized defects,"$148,139",$0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"INJURY, REGENERATION; ARTHRITIS/OSTEOARTHRITIS; MUSCLE, BONE, OR JOINT; BIOPHYSICS",2010-04-01,2011-03-31,tissue engineered cartilage suitable for the repair of clinicallyrelevant sized defects
"Willerth, Stephanie M",University of Victoria (British Columbia),Project Grant,202104PJT,Commercialization,3D bioprinting next generation brain organoids for identifying drug targets for Alzheimer's disease,"$489,600",$0,4 yrs 0 mth ,"Neurosciences, Mental Health and Addiction","Biomedical Engineering-Regenerative Medicine and Tissue Engineering; Molecular, Cellular and Systems Biology-Cell Differentiation",2021-10-01,2025-09-30,3d bioprinting next generation brain organoids for identifying drug targets for alzheimers disease
"Zeng, Haishan",University of British Columbia,Proof of Principle Program - Phase II,201009PP2,Proof of Principle,Development of a laser Raman spectroscopy system for melanoma detection,"$244,071","$48,211",1 yr 0 mth ,Cancer Research,MULTIDISCIPLINARY; SKIN AND SUBCUTANEOUS TISSUS; CANCER; IMAGING,2011-04-01,2012-03-31,development of a laser raman spectroscopy system for melanoma detection
"Kubow, Stanley",McGill University,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Protective Effects of Potato Polyphenol-Rich Extracts Against Lung Damage Caused by Air Pollutants,"$150,525",$0,1 yr 0 mth ,Circulatory and Respiratory Health,ENVIRONMENTAL INFLUENCES ON HEALTH; RESPIRATION; NUTRITION,2012-04-01,2013-03-31,protective effects of potato polyphenolrich extracts against lung damage caused by air pollutants
"Underhill, Michael",University of British Columbia,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Novel Applications of Potassium Channel Blockers in Arthritis,"$146,400",$0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"ARTHRITIS/OSTEOARTHRITIS; MUSCULO SKELETAL; MUSCLE, BONE, OR JOINT; AGING",2011-04-01,2012-03-31,novel applications of potassium channel blockers in arthritis
"Petrecca, Kevin",McGill University,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Identification of Novel Compounds Inhibiting Brain Cancer Invasion,"$120,775",$0,1 yr 0 mth ,Cancer Research,BRAIN TUMORS THERAPY; NEOPLASMS; CANCER; DRUG RESEARCH,2011-04-01,2012-03-31,identification of novel compounds inhibiting brain cancer invasion
"Crystal, Eugene","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Three-dimensional Catheter Tracking using a Single Two-dimensional Image,"$130,077","$12,873",1 yr 0 mth ,Circulatory and Respiratory Health,CARDIOLOGY; ARRHYTHMIAS; IMAGING; CARDIOVASCULAR,2010-04-01,2011-03-31,threedimensional catheter tracking using a single twodimensional image
"Granville, David J",University of British Columbia,Proof of Principle Program - Phase II,200910PP2,Proof of Principle,Therapeutic antibody development towards granzyme B,"$101,240",$0,1 yr 0 mth ,Circulatory and Respiratory Health,NONE OF THE ABOVE; AGING; CARDIOVASCULAR,2010-04-01,2011-03-31,therapeutic antibody development towards granzyme b
"Brouillette, Martin",Universite de Sherbrooke,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,Device for recanalization of peripheral and coronary arteries,"$155,180",$0,1 yr 0 mth ,Circulatory and Respiratory Health,CORONARY CIRCULATION (INCL. INSUFFICIENCY); CARDIOLOGY; CARDIOVASCULAR,2013-10-01,2014-09-30,device for recanalization of peripheral and coronary arteries
"Tessier, Philippe A",Universite Laval,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,Development of anti-S100 proteins for the treatment of arthritis,"$142,600",$0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"ARTHRITIS/OSTEOARTHRITIS; CHRONIC INFLAMMATORY BOWEL DISEASE; IMMUNOLOGY-TRANSPLANTATION; MUSCLE, BONE, OR JOINT",2009-07-01,2010-06-30,development of antis100 proteins for the treatment of arthritis
"Ostrowski, Mario A",University of Toronto,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Bioreactor-based large scale production of a Tim-3 pathway inhibitor as a novel immunotherapy against HIV-1 and other chronic viral infections,"$150,000",$0,1 yr 0 mth ,Infection and Immunity,AIDS; INFECTIOUS AND PARASITIC; IMMUNOLOGY-TRANSPLANTATION; VIROLOGY,2009-01-01,2009-12-31,bioreactorbased large scale production of a tim3 pathway inhibitor as a novel immunotherapy against hiv1 and other chronic viral infections
"Rak, Janusz",Research Institute of the McGill University Health Centre,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Monitoring progression of malignant tumors by detection of blood-borne oncogenic epidermal growth factor receptor circulating as cargo of tumor-derived microvesicles,"$150,000",$0,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; BRAIN TUMORS THERAPY; CANCER; CELL BIOLOGY,2009-01-01,2009-12-31,monitoring progression of malignant tumors by detection of bloodborne oncogenic epidermal growth factor receptor circulating as cargo of tumorderived microvesicles
"Gross, Peter L",McMaster University,Project Grant,202203PJT,Commercialization,Benchmarking a point-of-care test kit for detection of direct-oral anticoagulants,"$279,225",$0,2 yrs 0 mth ,Circulatory and Respiratory Health,"Cardiovascular, Respiratory and Circulatory Systems-Vascular and Endothelial Biology; Commercialization-Intellectual Property; Cardiovascular, Respiratory and Circulatory Systems-Hematology",2022-10-01,2024-09-30,benchmarking a pointofcare test kit for detection of directoral anticoagulants
"Liu, Fei-Fei",University Health Network (Toronto),Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Targeting UROD As A Novel Anti-Cancer Therapeutic Strategy,"$150,000",$0,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; CANCER,2010-04-01,2011-03-31,targeting urod as a novel anticancer therapeutic strategy
"Walker, Gilbert C",University of Toronto,Project Grant,202403PJT,Commercialization,Development of preclinical data for a phase one clinical trial of a micro-RNA-based formulation to treat early sepsis,"$508,725",$0,2 yrs 0 mth ,Circulatory and Respiratory Health,"Cardiovascular, Respiratory and Circulatory Systems-Respiratory System Pathologies and Clinical Interventions; Commercialization-Technology Transfer; Cardiovascular, Respiratory and Circulatory Systems-Clinical and Translational Cardiovascular Sciences",2024-10-01,2026-09-30,development of preclinical data for a phase one clinical trial of a micrornabased formulation to treat early sepsis
"Lin, Sheng-Xiang",Universite Laval,Project Grant - PA: Breast Cancer Research,202309PLL,Commercialization,Pre-clinical pharmacokinetic and efficacy assays with an efficient 17beta-hydroxysteroid dehydrogenase type 7 inhibitor for breast cancer therapy,"$100,000",$0,1 yr 0 mth ,Cancer Research,"Cancer-Cancer Drug Development and Therapeutics; Digestive, Endocrine and Excretory Systems-Endocrinology",2024-03-01,2025-02-28,preclinical pharmacokinetic and efficacy assays with an efficient 17betahydroxysteroid dehydrogenase type 7 inhibitor for breast cancer therapy
"Saragovi, Horacio U",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Proof of Principle Program - Phase II,201509PP2,Proof of Principle,Therapy for motor neuron degeneration diseases targeting the opposing ligand-dependent signals of two TrkC receptor isoforms,"$300,000",$0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",AMYOTROPHIC LATERAL SCLEROSIS (ALS); DISEASES AFFECTING SPEECH/VISION/HEARING; NERVOUS SYSTEM; DRUG RESEARCH,2016-04-01,2017-03-31,therapy for motor neuron degeneration diseases targeting the opposing liganddependent signals of two trkc receptor isoforms
"C.-Gaudreault, Rene",Universite Laval,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,Optimization and Validation of Highly Cytocidal Substituted Phenyl Imidazolidin-2-one as Antimicrotubule Agents for Cancer Chemotherapy,"$160,000",$0,1 yr 0 mth ,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; CANCER THERAPY GENERAL; DRUG RESEARCH; CANCER,2011-10-01,2012-09-30,optimization and validation of highly cytocidal substituted phenyl imidazolidin2one as antimicrotubule agents for cancer chemotherapy
"DeWitte-Orr, Stephanie","Wilfrid Laurier University (Waterloo, Ontario)",Project Grant - PA: Pandemic Preparedness and Health Emergencies Research,202209PPE,Commercialization,Developing intranasal dsRNA molecules as broadly effective therapeutics against highly pathogenic coronaviruses,"$100,000",$0,1 yr 0 mth ,Infection and Immunity,"Immunology and Infection-Virology; Commercialization-Intellectual Property; Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics",2023-03-01,2024-02-29,developing intranasal dsrna molecules as broadly effective therapeutics against highly pathogenic coronaviruses
"Rogers, Ian M",Sinai Health System (Toronto),Proof of Principle Program - Phase I,201009PPP,Proof of Principle,The Use of Multipotential Stem Cells for the Treatment of Peripheral Vascular Disease,"$160,000",$0,1 yr 0 mth ,Circulatory and Respiratory Health,NONE OF THE ABOVE; CORONARY CIRCULATION (INCL. INSUFFICIENCY); NOT CLASSIFIED; CARDIOVASCULAR,2011-04-01,2012-03-31,the use of multipotential stem cells for the treatment of peripheral vascular disease
"Sipione, Simonetta",University of Alberta,Proof of Principle Program Phase I - Drug Development,201102PDD,Proof of Principle,Development of ganglioside-based therapies for Huntington's disease,"$159,196",$0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",HUNTINGTON'S DISEASE; MULTIPLE DISEASE RELEVANCE; NERVOUS SYSTEM; CELL BIOLOGY,2011-10-01,2012-09-30,development of gangliosidebased therapies for huntingtons disease
"Burt, Helen M",University of British Columbia,Proof of Principle Program - Phase II,201302PP2,Proof of Principle,Intravesical Docetaxel Formulation for the Treatment of Ta/T1 Stage Bladder Cancer,"$294,600",$0,1 yr 0 mth ,Cancer Research,"PROSTATE AND BLADDER CANCER THERAPY; CANCER; RENAL FUNCTION, NEPHROLOGY, UROLOGY",2013-10-01,2014-09-30,intravesical docetaxel formulation for the treatment of tat1 stage bladder cancer
"Arthur, Gilbert",University of Manitoba,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,Preclinical development of glycerophosphocarbamates as prostate-selective anticancer drugs,"$137,617",$0,1 yr 0 mth ,Cancer Research,PROSTATE AND BLADDER CANCER THERAPY; CANCER THERAPY GENERAL; CANCER; DRUG RESEARCH,2009-07-01,2010-06-30,preclinical development of glycerophosphocarbamates as prostateselective anticancer drugs
"Liu, Fang",Centre for Addiction and Mental Health (Toronto),Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Development of peptide therapeutics via nasal delivery for major depression disorder,"$150,000",$0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",DEPRESSION; MENTAL AND BEHAVIOURAL DISEASES; MENTAL HEALTH; DRUG RESEARCH,2012-04-01,2013-03-31,development of peptide therapeutics via nasal delivery for major depression disorder
"Gratzer, Paul F",Dalhousie University (Nova Scotia),Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Decellularization of Human Skin,"$149,034","$10,900",1 yr 0 mth ,Musculoskeletal Health and Arthritis,SKIN AND SUBCUTANEOUS TISSUS; IMMUNOLOGY-TRANSPLANTATION; NOT CLASSIFIED,2011-04-01,2012-03-31,decellularization of human skin
"Cherkasov, Artem",University of British Columbia,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,First-in-Class Small-molecule Inhibitors Selectively Targeting the DNA-binding Domain of Human Androgen Receptor and Its Splice Variants for the Treatment of Resistant Prostate Cancer,"$150,030",$0,1 yr 0 mth ,Cancer Research,PROSTATE AND BLADDER CANCER THERAPY; CANCER THERAPY GENERAL; CANCER; DRUG RESEARCH,2014-10-01,2015-09-30,firstinclass smallmolecule inhibitors selectively targeting the dnabinding domain of human androgen receptor and its splice variants for the treatment of resistant prostate cancer
"Zeng, Haishan",University of British Columbia,Project Grant,202104PJT,Commercialization,Autofluorescence Imaging Guided Laser Raman Spectroscopy for Non-invasive Oral Cancer Detection,"$742,051",$0,4 yrs 0 mth ,Cancer Research,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation; Cancer-Clinical Oncology; Musculoskeletal Health-Oral Health",2021-10-01,2025-09-30,autofluorescence imaging guided laser raman spectroscopy for noninvasive oral cancer detection
"Diamandis, Eleftherios P",Sinai Health System (Toronto),Project Grant,202203PJT,Commercialization,"KaliDerm Therapeutics: A research/commercialization plan to validate, better define and add value to our proprietary dual KLK5/7 inhibitor as a novel topical therapeutic for Netherton Syndrome.","$336,600",$0,2 yrs 0 mth ,Infection and Immunity,"Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery",2022-10-01,2024-09-30,kaliderm therapeutics a researchcommercialization plan to validate better define and add value to our proprietary dual klk57 inhibitor as a novel topical therapeutic for netherton syndrome
"Powell, William S",McGill University,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,Development of novel OXE receptor antagonists for asthma,"$146,000",$0,1 yr 0 mth ,Circulatory and Respiratory Health,ASTHMA; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; RESPIRATION,2009-07-01,2010-06-30,development of novel oxe receptor antagonists for asthma
"Powell, William S",McGill University,Proof of Principle Program - Phase II,201309PP2,Proof of Principle,Development of novel OXE receptor antagonists for asthma,"$293,133",$0,1 yr 0 mth ,Circulatory and Respiratory Health,ASTHMA; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; RESPIRATION,2009-07-01,2010-06-30,development of novel oxe receptor antagonists for asthma
"Gobeil, Fernand J",Universite de Sherbrooke,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Agonistes synthetiques de kinines : Optimiser la livraison et l'efficacite des chimiotherapies des tumeurs cerebrales,"$149,418",$0,1 yr 0 mth ,Cancer Research,BRAIN TUMORS THERAPY; BRAIN TUMORS (INCL. RETINAL TUMORS); CANCER; HEALTH RESEARCH,2012-04-01,2013-03-31,agonistes synthetiques de kinines optimiser la livraison et lefficacite des chimiotherapies des tumeurs cerebrales
"Macaulay, Calum E",University of British Columbia,"Proof of Principle - PA: Cancer Early Detection, Imaging/Trans Therapeutics",200904PCA,Proof of Principle,A platform enabling personalized medicine through the detection of cells with specific genetic characterization,"$149,825",$0,1 yr 0 mth ,Cancer Research,"CANCER THERAPY GENERAL; MULTIDISCIPLINARY; CANCER; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",2009-07-01,2010-06-30,a platform enabling personalized medicine through the detection of cells with specific genetic characterization
"McNagny, Kelly M",University of British Columbia,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,CD34 as a therapeutic target for allergic asthma,"$160,000",$0,1 yr 0 mth ,Infection and Immunity,ASTHMA; RESPIRATION; IMMUNOLOGY-TRANSPLANTATION,2010-10-01,2011-09-30,cd34 as a therapeutic target for allergic asthma
"Guertin, Pierre",Universite Laval,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,First-in-class Therapeutic Against Urinary Retention (Continence) in Patients with Chronic Spinal Cord Injury and Related Disorders,"$160,000",$0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction","SPINAL CORD DISEASE; GENITO/URINARY SYSTEM; NERVOUS SYSTEM; RENAL FUNCTION, NEPHROLOGY, UROLOGY",2012-04-01,2013-03-31,firstinclass therapeutic against urinary retention continence in patients with chronic spinal cord injury and related disorders
"Juncker, David",McGill University,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Clinical validation of an innovative multiplex antibody microarray platform,"$150,000",$0,1 yr 0 mth ,Cancer Research,"MULTIDISCIPLINARY; BREAST CANCER; GENOMICS, PROTEOMICS, AND BIOINFORMATICS; CANCER",2010-04-01,2011-03-31,clinical validation of an innovative multiplex antibody microarray platform
"Seidah, Nabil G",Institut de recherches cliniques de Montreal,Proof of Principle Program - Phase II,201209PP2,Proof of Principle,Validation of PCSK9 single domain antibodies in cholesterol regulation in humanized mice,"$186,128",$0,1 yr 0 mth ,"Nutrition, Metabolism and Diabetes",DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; METABOLISM AND NUTRITION; CARDIOVASCULAR; METABOLISM/DIABETES,2013-04-01,2014-03-31,validation of pcsk9 single domain antibodies in cholesterol regulation in humanized mice
"Bear, Christine E",Hospital for Sick Children (Toronto),Project Grant,202403PJT,Commercialization,Preclinical studies of a novel CFTR potentiator for commercialization as a therapy for chronic obstructive pulmonary disease.,"$325,125",$0,2 yrs 0 mth ,Circulatory and Respiratory Health,Commercialization-Technology Transfer,2024-10-01,2026-09-30,preclinical studies of a novel cftr potentiator for commercialization as a therapy for chronic obstructive pulmonary disease
"Towler, Mark R",Toronto Metropolitan University,Project Grant,201803PJT,Commercialization,"Development of a Proprietary, Glass-Based Adhesive for Sternal Fixation and Stabilisation.","$602,438",$0,3 yrs 0 mth ,Musculoskeletal Health and Arthritis,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Musculoskeletal Health-Bone, Skin and Cartilage Sciences",2018-10-01,2021-09-30,development of a proprietary glassbased adhesive for sternal fixation and stabilisation
"Finlay, Barton B",University of British Columbia,Proof of Principle Program - Phase II,201009PP2,Proof of Principle,A sub-unit based vaccine for Salmonella,"$149,685",$0,1 yr 0 mth ,Infection and Immunity,GASTRO-INTESTINAL DISEASE; INFECTIOUS AND PARASITIC; BACTERIOLOGY; GASTROINTESTINAL (LIVER),2011-04-01,2012-03-31,a subunit based vaccine for salmonella
"Shapiro, James",University of Alberta,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Preclinical Development of Novel Biomaterials for the Creation of a Deviceless Pre-Vascularized Site for Islet and Cellular Transplantation,"$157,126",$0,1 yr 0 mth ,"Nutrition, Metabolism and Diabetes",DIABETES MELLITUS; ENDOCRINOLOGY; IMMUNOLOGY-TRANSPLANTATION; METABOLISM/DIABETES,2016-04-01,2017-03-31,preclinical development of novel biomaterials for the creation of a deviceless prevascularized site for islet and cellular transplantation
"Bernatchez, Pascal N",University of British Columbia,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Novel compounds for treatment of pulmonary hypertension,"$158,389",$0,1 yr 0 mth ,Circulatory and Respiratory Health,HYPERTENSION; CARDIOVASCULAR; RESPIRATION,2013-04-01,2014-03-31,novel compounds for treatment of pulmonary hypertension
"Cunningham, Charles H","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Proof of Principle Program - Phase I,201003PPP,Proof of Principle,Wire for MRI-Guided Interventions,"$139,840","$8,395",1 yr 0 mth ,Circulatory and Respiratory Health,CORONARY CIRCULATION (INCL. INSUFFICIENCY); IMAGING; CARDIOVASCULAR,2010-10-01,2011-09-30,wire for mriguided interventions
"Vanner, Stephen J","Queen's University (Kingston, Ontario)",Project Grant,202303PJT,Commercialization,Developing a potent non-addictive analgesic as an alternative to conventional opioids,"$665,550",$0,3 yrs 0 mth ,"Neurosciences, Mental Health and Addiction","Commercialization-Industry Research & Development; Neurosciences-Sensory Systems (including visual, auditory and pain)",2023-10-01,2026-09-30,developing a potent nonaddictive analgesic as an alternative to conventional opioids
"Putnins, Edward E",University of British Columbia,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Development of Novel Polar MAO B Inhibitors for the Treatment of Epithelial Barrier Diseases,"$160,000",$0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,DENTAL DISEASE (INCL. ORAL BIOLOGY); DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DENTAL SCIENCE - Oral Biology; DRUG RESEARCH,2014-10-01,2015-09-30,development of novel polar mao b inhibitors for the treatment of epithelial barrier diseases
"Sarunic, Marinko V","Simon Fraser University (Burnaby, B.C.)",Project Grant,201809PJT,Commercialization,Sensorless Adaptive Optics Optical Coherence Tomography for Clinical Ophthalmology,"$493,425",$0,3 yrs 0 mth ,Aging,Biomedical Engineering-Biomedical Imaging,2017-04-01,2018-03-31,sensorless adaptive optics optical coherence tomography for clinical ophthalmology
"Pratt, Christine M",University of Ottawa,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,A-CD estrogens as alternatives to Estrogen-based hormone replacement therapy,"$156,060",$0,1 yr 0 mth ,Gender and Health,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; ENDOCRINOLOGY; DRUG RESEARCH; HEALTH RESEARCH,2012-10-01,2013-09-30,acd estrogens as alternatives to estrogenbased hormone replacement therapy
"Wither, Joan E",University Health Network (Toronto),Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Development of a test for the early diagnosis and monitoring of lupus nephritis,"$160,000",$0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"LUPUS; GENITO/URINARY SYSTEM; MUSCLE, BONE, OR JOINT; RENAL FUNCTION, NEPHROLOGY, UROLOGY",2016-04-01,2017-03-31,development of a test for the early diagnosis and monitoring of lupus nephritis
"Yanow, Stephanie K",University of Alberta,Proof of Principle Program - Phase II,201309PP2,Proof of Principle,A field-deployable malaria and fever diagnostic system,"$143,250",$0,1 yr 0 mth ,Infection and Immunity,INFECTIOUS AND PARASITIC; POPULATION HEALTH; INTERNATIONAL HEALTH,2014-04-01,2015-03-31,a fielddeployable malaria and fever diagnostic system
"Mahuran, Don J",Hospital for Sick Children (Toronto),Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Treating Parkinson's Disease with Drugs that Increase Lysosomal B-Glucocerebrosidase Activity,"$157,606",$0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",PARKINSON'S DISEASE; MENTAL AND BEHAVIOURAL DISEASES; NERVOUS SYSTEM; BIOCHEMISTRY,2012-04-01,2013-03-31,treating parkinsons disease with drugs that increase lysosomal bglucocerebrosidase activity
"Graham, Simon J","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Proof of Principle Program - Phase I,201102PPP,Proof of Principle,Tablet Technology for Assessing Dementia,"$116,402",$0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",ALZHEIMER'S DISEASE; IMAGING; NERVOUS SYSTEM,2011-10-01,2012-09-30,tablet technology for assessing dementia
"Zaugg, Michael",University of Alberta,Project Grant,202303PJT,Commercialization,"Vegaven, a novel lipid emulsion with unique superior biological actions designed for parenteral nutrition","$818,550",$0,3 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",Commercialization-Intellectual Property,2023-10-01,2026-09-30,vegaven a novel lipid emulsion with unique superior biological actions designed for parenteral nutrition
"Kizhakkedathu, Jayachandran N",University of British Columbia,Proof of Principle Program - Phase II,201402PP2,Proof of Principle,Preclinical Development of a Glucose-Free Peritoneal Dialysis Solution,"$289,799","$5,000",1 yr 0 mth ,"Nutrition, Metabolism and Diabetes","RENAL FUNCTION, NEPHROLOGY, UROLOGY",2014-10-01,2015-09-30,preclinical development of a glucosefree peritoneal dialysis solution
"Bosse, Yohan",Universite Laval,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,Prognostic gene signature for stage I lung adenocarcinoma,"$148,348",$0,1 yr 0 mth ,Cancer Research,LUNG CANCER; SUPPLEMENTARY CLASSIFICATIONS; CANCER; GENETICS,2013-10-01,2014-09-30,prognostic gene signature for stage i lung adenocarcinoma
"Sutherland, Garnette R",University of Calgary,Project Grant,202303PJT,Commercialization,An Intelligent Workstation for Robot-Assisted Microsurgery & Tele-Operations,"$780,300",$0,3 yrs 0 mth ,Health Services and Policy Research,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation",2023-10-01,2026-09-30,an intelligent workstation for robotassisted microsurgery teleoperations
"Allard, Michael F",University of British Columbia,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,Modulation of heart metabolism by hydrophobically modified hyperbranched polyglycerols,"$150,000",$0,1 yr 0 mth ,Circulatory and Respiratory Health,MYOCARDIAL INFARCTION; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; CARDIOVASCULAR; DRUG RESEARCH,2009-07-01,2010-06-30,modulation of heart metabolism by hydrophobically modified hyperbranched polyglycerols
"Nanthakumar, Kumaraswamy",University Health Network (Toronto),Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Novel Mapping Methodology for Identifying Arrhythmia Circuit.,"$158,375",$0,1 yr 0 mth ,Circulatory and Respiratory Health,CARDIOLOGY; ARRHYTHMIAS; CARDIOVASCULAR,2014-04-01,2015-03-31,novel mapping methodology for identifying arrhythmia circuit
